step,method,q,seed,ablation,approx_kl,mean_kl_window
483328,TEL-PPO,55.0,50,baseline,0.0,
487424,TEL-PPO,55.0,50,baseline,0.0022,
491520,TEL-PPO,55.0,50,baseline,0.0056,
495616,TEL-PPO,55.0,50,baseline,0.0,
499712,TEL-PPO,55.0,50,baseline,0.0062,
503808,TEL-PPO,55.0,50,baseline,0.0007,
507904,TEL-PPO,55.0,50,baseline,0.017,
512000,TEL-PPO,55.0,50,baseline,0.0136,
516096,TEL-PPO,55.0,50,baseline,0.0093,
520192,TEL-PPO,55.0,50,baseline,0.0168,
524288,TEL-PPO,55.0,50,baseline,0.0075,
528384,TEL-PPO,55.0,50,baseline,0.0173,
532480,TEL-PPO,55.0,50,baseline,0.0019,
536576,TEL-PPO,55.0,50,baseline,0.0286,
540672,TEL-PPO,55.0,50,baseline,0.0154,
544768,TEL-PPO,55.0,50,baseline,0.0051,
548864,TEL-PPO,55.0,50,baseline,0.0069,
552960,TEL-PPO,55.0,50,baseline,0.0298,
557056,TEL-PPO,55.0,50,baseline,0.034,
561152,TEL-PPO,55.0,50,baseline,0.0266,
565248,TEL-PPO,55.0,50,baseline,0.0,
569344,TEL-PPO,55.0,50,baseline,0.0,
573440,TEL-PPO,55.0,50,baseline,0.0,
577536,TEL-PPO,55.0,50,baseline,0.0063,
581632,TEL-PPO,55.0,50,baseline,0.0246,
585728,TEL-PPO,55.0,50,baseline,0.0,
589824,TEL-PPO,55.0,50,baseline,0.0239,
593920,TEL-PPO,55.0,50,baseline,0.0077,
598016,TEL-PPO,55.0,50,baseline,0.0348,
602112,TEL-PPO,55.0,50,baseline,0.0,
606208,TEL-PPO,55.0,50,baseline,0.0,
610304,TEL-PPO,55.0,50,baseline,0.0321,
614400,TEL-PPO,55.0,50,baseline,0.016,
618496,TEL-PPO,55.0,50,baseline,0.0,
622592,TEL-PPO,55.0,50,baseline,0.0279,
626688,TEL-PPO,55.0,50,baseline,0.0126,
630784,TEL-PPO,55.0,50,baseline,0.0,
634880,TEL-PPO,55.0,50,baseline,0.006,
638976,TEL-PPO,55.0,50,baseline,0.0246,
643072,TEL-PPO,55.0,50,baseline,0.0253,
647168,TEL-PPO,55.0,50,baseline,0.0301,
651264,TEL-PPO,55.0,50,baseline,0.0252,
655360,TEL-PPO,55.0,50,baseline,0.0,
659456,TEL-PPO,55.0,50,baseline,0.0334,
663552,TEL-PPO,55.0,50,baseline,0.0146,
667648,TEL-PPO,55.0,50,baseline,0.0,
671744,TEL-PPO,55.0,50,baseline,0.0,
675840,TEL-PPO,55.0,50,baseline,0.0077,
679936,TEL-PPO,55.0,50,baseline,0.0083,
684032,TEL-PPO,55.0,50,baseline,0.0192,
688128,TEL-PPO,55.0,50,baseline,0.0114,
692224,TEL-PPO,55.0,50,baseline,0.0112,
696320,TEL-PPO,55.0,50,baseline,0.0135,
700416,TEL-PPO,55.0,50,baseline,0.027,
704512,TEL-PPO,55.0,50,baseline,0.0,
708608,TEL-PPO,55.0,50,baseline,0.0,
712704,TEL-PPO,55.0,50,baseline,0.0354,
716800,TEL-PPO,55.0,50,baseline,0.0088,
720896,TEL-PPO,55.0,50,baseline,0.0,
724992,TEL-PPO,55.0,50,baseline,0.0,
729088,TEL-PPO,55.0,50,baseline,0.0,
733184,TEL-PPO,55.0,50,baseline,0.0083,
737280,TEL-PPO,55.0,50,baseline,0.0,
741376,TEL-PPO,55.0,50,baseline,0.0,
745472,TEL-PPO,55.0,50,baseline,0.0,
749568,TEL-PPO,55.0,50,baseline,0.0041,
753664,TEL-PPO,55.0,50,baseline,0.0155,
757760,TEL-PPO,55.0,50,baseline,0.0355,
761856,TEL-PPO,55.0,50,baseline,0.0196,
765952,TEL-PPO,55.0,50,baseline,0.0,
770048,TEL-PPO,55.0,50,baseline,0.0,
774144,TEL-PPO,55.0,50,baseline,0.0384,
778240,TEL-PPO,55.0,50,baseline,0.0107,
782336,TEL-PPO,55.0,50,baseline,0.0022,
786432,TEL-PPO,55.0,50,baseline,0.0072,
790528,TEL-PPO,55.0,50,baseline,0.0085,
794624,TEL-PPO,55.0,50,baseline,0.0,
798720,TEL-PPO,55.0,50,baseline,0.0182,
802816,TEL-PPO,55.0,50,baseline,0.0033,
806912,TEL-PPO,55.0,50,baseline,0.0084,
811008,TEL-PPO,55.0,50,baseline,0.0379,
815104,TEL-PPO,55.0,50,baseline,0.0296,
819200,TEL-PPO,55.0,50,baseline,0.0408,
823296,TEL-PPO,55.0,50,baseline,0.0,
827392,TEL-PPO,55.0,50,baseline,0.0172,
831488,TEL-PPO,55.0,50,baseline,0.0052,
835584,TEL-PPO,55.0,50,baseline,0.0,
839680,TEL-PPO,55.0,50,baseline,0.0,
843776,TEL-PPO,55.0,50,baseline,0.0,
847872,TEL-PPO,55.0,50,baseline,0.0129,
851968,TEL-PPO,55.0,50,baseline,0.0,
856064,TEL-PPO,55.0,50,baseline,0.0004,
860160,TEL-PPO,55.0,50,baseline,0.0353,
864256,TEL-PPO,55.0,50,baseline,0.0027,
868352,TEL-PPO,55.0,50,baseline,0.0053,
872448,TEL-PPO,55.0,50,baseline,0.0,
876544,TEL-PPO,55.0,50,baseline,0.0017,
880640,TEL-PPO,55.0,50,baseline,0.0074,
884736,TEL-PPO,55.0,50,baseline,0.0247,
888832,TEL-PPO,55.0,50,baseline,0.0376,
892928,TEL-PPO,55.0,50,baseline,0.0098,
897024,TEL-PPO,55.0,50,baseline,0.007,
901120,TEL-PPO,55.0,50,baseline,0.0159,
905216,TEL-PPO,55.0,50,baseline,0.0115,
909312,TEL-PPO,55.0,50,baseline,0.0,
913408,TEL-PPO,55.0,50,baseline,0.037,
917504,TEL-PPO,55.0,50,baseline,0.0058,
921600,TEL-PPO,55.0,50,baseline,0.0,
925696,TEL-PPO,55.0,50,baseline,0.0222,
929792,TEL-PPO,55.0,50,baseline,0.0199,
933888,TEL-PPO,55.0,50,baseline,0.0,
937984,TEL-PPO,55.0,50,baseline,0.0244,
942080,TEL-PPO,55.0,50,baseline,0.0224,
946176,TEL-PPO,55.0,50,baseline,0.0105,
950272,TEL-PPO,55.0,50,baseline,0.0,
954368,TEL-PPO,55.0,50,baseline,0.03,
958464,TEL-PPO,55.0,50,baseline,0.0013,
962560,TEL-PPO,55.0,50,baseline,0.0039,
966656,TEL-PPO,55.0,50,baseline,0.0,
970752,TEL-PPO,55.0,50,baseline,0.0238,
974848,TEL-PPO,55.0,50,baseline,0.0,
978944,TEL-PPO,55.0,50,baseline,0.0,
983040,TEL-PPO,55.0,50,baseline,0.0051,
987136,TEL-PPO,55.0,50,baseline,0.0241,
991232,TEL-PPO,55.0,50,baseline,0.0,
995328,TEL-PPO,55.0,50,baseline,0.0,
999424,TEL-PPO,55.0,50,baseline,0.0289,
1003520,TEL-PPO,55.0,50,baseline,0.0017,
1007616,TEL-PPO,55.0,50,baseline,0.0398,
1011712,TEL-PPO,55.0,50,baseline,0.0056,
1015808,TEL-PPO,55.0,50,baseline,0.0,
1019904,TEL-PPO,55.0,50,baseline,0.0027,
1024000,TEL-PPO,55.0,50,baseline,0.0294,
1028096,TEL-PPO,55.0,50,baseline,0.0243,
1032192,TEL-PPO,55.0,50,baseline,0.0205,
