stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical,abs_err,stage2_gap_unweighted,gradient_iterations,gradient_final_grad,gradient_mode,opp_mode,opp_sync_interval,opp_ema_tau,opp_hist_size,last_sync_step,approx_kl,batch_entropy,alpha_mean,beta_mean,eval_vs_opponent_effort,eval_vs_opponent_reward,eval_vs_opponent_opp_effort,eval_vs_opponent_abs_err,eval_vs_history_effort_mean,eval_vs_history_effort_std,eval_vs_history_reward_mean,eval_vs_history_reward_std,eval_vs_history_abs_err_mean
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,37.549662590026855,244.07280683517456,Poor,3000000,14.449920437552692,2.223064682700411,2.223064682700411,,,,periodic,2,0.2,0,500,0.0022416835029919944,-2.5243937174479165,75.31402587890625,325.82952880859375,,,,,,,,,
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,37.60092854499817,244.4060355424881,Poor,3000000,14.116691730239154,2.1717987277290973,2.1717987277290973,,,,periodic,2,0.2,0,500,-0.0003300880392392476,-2.523625691731771,75.75407409667969,327.18316650390625,,,,,,,,,
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,38.6368602514267,251.13959163427353,Poor,3000000,7.383135638453723,1.1358670213005695,1.1358670213005695,,,,periodic,2,0.2,0,500,-0.00022819886604944864,-2.4905904134114585,74.4898910522461,311.0998840332031,,,,,,,,,
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,37.366488575935364,242.88217574357986,Poor,3000000,15.640551529147388,2.4062386967919025,2.4062386967919025,,,,periodic,2,0.2,0,500,-0.00019008169571558634,-2.5045166015625,72.10711669921875,313.8382568359375,,,,,,,,,
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,38.03274929523468,247.21287041902542,Poor,3000000,11.309856853701831,1.739977977492586,1.739977977492586,,,,periodic,2,0.2,0,500,-2.7957061926523846e-05,-2.506617228190104,74.72573852539062,318.2289733886719,,,,,,,,,
3.0,6.5,0.0004,0.0004,none,0.0,39.772727272727266,ppo,0.0,38.191160559654236,248.24254363775253,Poor,3000000,10.280183634974719,1.5815667130730304,1.5815667130730304,,,,periodic,2,0.2,0,500,3.828853368759155e-05,-2.515986124674479,76.79304504394531,325.3578186035156,,,,,,,,,
