q,Gradient Conv.,Gradient Gap,Gradient Quality,TEL-PPO Conv.,TEL-PPO Gap,TEL-PPO Quality
25.0,-,11.444,Poor,-,10.372,Poor
40.0,200,0.329,Excellent,288,6.115,Poor
55.0,99,28.148,Excellent,244,9.443,Fair
