run_id,variant_name,stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical,abs_err,stage2_gap_unweighted,gradient_iterations,gradient_final_grad,gradient_mode,opp_mode,opp_sync_interval,opp_ema_tau,opp_hist_size,last_sync_step,approx_kl,batch_entropy,alpha_mean,beta_mean,kl_proxy_max,kl_proxy_mean,ratio_max,ratio_mean,clip_frac_max,clip_frac_mean,approx_kl_max_abs,mean_kl_window,std_kl_window,drift_effort,exploitability,best_dev_effort,symmetry_gap,drift_ok_streak,exploit_ok_streak,converged_flag,eval_vs_history_effort_mean,eval_vs_history_effort_std,eval_vs_history_reward_mean,eval_vs_history_reward_std,eval_vs_history_abs_err_mean
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,gradient,0.0,47.61548115610698,309.5006275146954,Excellent,0,0.02318200911417989,,0.003566462940646886,1740.0,1.9931878370020386e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,37.037037037037045,gradient,0.0,37.0351441453856,240.72843694500642,Excellent,0,0.01230379573436835,,0.0018928916514440175,1793.0,1.9885897373232502e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,30.303030303030308,gradient,0.0,30.301817669961196,196.9618148547478,Excellent,0,0.007882114949211427,,0.0012126330691124565,1912.0,1.9892643088323057e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,gradient,0.0,45.45111876660083,295.4322719829054,Excellent,0,0.022273471640062326,,0.003426687944624973,1739.0,1.9902277603737824e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.00055,0.00055,none,0.0,35.35353535353535,gradient,0.0,35.35175162017439,229.78638553113353,Excellent,0,0.011594266846230994,,0.001783733360959161,1986.0,1.99484295748715e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.00055,0.00055,none,0.0,28.92561983471074,gradient,0.0,28.924485210048903,188.00915386531787,Excellent,0,0.007375060301939129,,0.0011346246618373357,2089.0,1.9928996231041378e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,47.61904761904763,gradient,0.0,47.61548115610698,309.5006275146954,Excellent,0,0.02318200911417989,,0.003566462940646886,1740.0,1.9931878370020386e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,37.037037037037045,gradient,0.0,37.0351441453856,240.72843694500642,Excellent,0,0.01230379573436835,,0.0018928916514440175,1793.0,1.9885897373232502e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
,baseline,3.0,6.5,0.0006,0.0006,none,0.0,30.303030303030308,gradient,0.0,30.301817669961196,196.9618148547478,Excellent,0,0.007882114949211427,,0.0012126330691124565,1912.0,1.9892643088323057e-07,stochastic_uniform,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
20260408_141814,baseline,3.0,6.5,0.00055,0.00055,none,0.0,45.45454545454545,ppo,0.0,40.94251990318298,266.1263793706894,Poor,6144000,29.328166083856047,4.51202555136247,4.51202555136247,,,,periodic,0,0.0,0,-1,0.005047798156738281,-3.861328125,3806.2861328125,5490.3720703125,0.03105807490646839,0.012478307020501234,1.9887373447418213,1.0074305087327957,0.4140625,0.177978515625,0.02773284912109375,0.005957914193471274,0.007734370902161744,0.15121698379516602,0.011841773986816406,44.75,0.002806812524944746,3,5,1,,,,,
