lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.05,1000,0.5,0.001,256,3.0,25.0,87.5,87.50060156250001,86.0006615625,89.0005415625,1.500541562500004,1.4993384375000005,1.500541562500004,1.4999400000000023,2.9998800000000045,1.0,0.013231250000000028,Fair,1.8005395625000045,False,success
0.05,1500,0.1,1e-05,32,2.0,25.0,87.5,86.86354413863289,85.92178073519548,87.8053075420703,1.5782192648045168,1.5782192648045168,0.3053075420702953,0.941763403437406,1.883526806874812,1500.0,0.47815670167991486,Fair,1.776571945491998,False,success
0.05,1500,0.3,1e-05,128,2.0,25.0,87.5,87.1570457627196,86.21528235928233,88.09880916615688,1.2847176407176732,1.2847176407176732,0.5988091661568831,0.9417634034372782,1.8835268068745563,1500.0,0.02490712695133642,Fair,1.4830703214051288,False,success
0.05,1500,0.8,0.0001,16,1.0,25.0,87.5,87.63676741105259,87.16588570933416,88.10764911277101,0.6076491127710142,0.33411429066583764,0.6076491127710142,0.4708817017184259,0.9417634034368518,1500.0,0.06698872098137215,Good,0.7118254531146994,False,success
0.05,2000,0.1,0.0001,64,0.5,25.0,87.5,87.2438263528319,87.01304763549135,87.47460507017246,0.4869523645086531,0.4869523645086531,0.025394929827541546,0.2561736471680973,0.46155743468111154,2000.0,0.2038352153002232,Excellent,0.5431081079767642,False,success
0.05,2000,0.3,0.0001,128,3.0,25.0,87.5,87.08563803399196,85.70096572994879,88.4703103380351,1.7990342700512088,1.7990342700512088,0.9703103380351052,1.384672304043157,2.769344608086314,2000.0,0.025204339777353073,Fair,2.08596873085984,False,success
0.05,2000,0.8,0.001,16,3.0,25.0,87.5,86.9594408269672,85.5747685229236,88.34411313101079,1.9252314770763945,1.9252314770763945,0.8441131310107863,1.3846723040435904,2.769344608087181,2000.0,0.06826166564828706,Fair,2.2121659378851124,False,success
0.05,3000,0.1,0.001,64,2.0,25.0,87.5,87.06830068012275,86.18138237206894,87.95521898817657,1.3186176279310615,1.3186176279310615,0.4552189881765685,0.886918308053815,1.77383661610763,3000.0,0.07036698987013201,Fair,1.5060012895418244,False,success
0.05,3000,0.3,0.001,256,1.0,25.0,87.5,87.49445941566306,86.99469936287011,87.99421946845601,0.505300637129892,0.505300637129892,0.4942194684560093,0.49976005279295066,0.9995201055859013,12.0,0.002036082018043543,Good,0.6052926476884822,True,success
0.05,3000,1.0,1e-05,32,1.0,25.0,87.5,87.12615457403855,86.6826954200115,87.5696137280656,0.8173045799885017,0.8173045799885017,0.06961372806560462,0.44345915402705316,0.8869183080541063,3000.0,0.015368805734681912,Good,0.9159964107939124,False,success
