lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.01,500,0.1,1e-05,16,0.5,40.0,54.6875,54.69836358955844,54.449361596206494,54.94736558291038,0.2598655829103791,0.23813840379350637,0.2598655829103791,0.24900199335194273,0.49800398670388546,500.0,0.043958244132280555,Excellent,0.31966598158076764,False,success
0.01,2000,1.0,1e-05,256,3.0,40.0,54.6875,54.662559303879576,53.1863684182734,56.13875018948575,1.5011315817265967,1.5011315817265967,1.451250189485748,1.4761908856061723,2.9523817712123446,2000.0,0.0038954063148390894,Fair,1.8063697588478311,False,success
0.03,1500,0.8,0.0001,256,3.0,40.0,54.6875,54.689427628064344,53.18957162288043,56.18928363324826,1.5017836332482588,1.497928377119571,1.5017836332482588,1.499856005183915,2.99971201036783,4.0,0.0022268709765022043,Fair,1.8017815009517084,False,success
0.05,1000,0.5,0.001,256,3.0,40.0,54.6875,54.68736328125,53.18742328125,56.18730328125,1.5000767187500017,1.5000767187500017,1.4998032812500028,1.4999400000000023,2.9998800000000045,1.0,0.0039343750000000455,Fair,1.8000747187500021,True,success
0.08,500,0.5,1e-05,256,3.0,40.0,54.6875,54.67694896959202,53.2241905841621,56.12970735502193,1.463309415837898,1.463309415837898,1.442207355021928,1.452758385429913,2.905516770859826,500.0,0.01210892250370943,Fair,1.7638610929238807,False,success
0.08,3000,0.3,0.0001,256,3.0,40.0,54.6875,54.18771079256348,52.9497580961552,55.42566348897175,1.7377419038447997,1.7377419038447997,0.7381634889717503,1.237952696408275,2.47590539281655,3000.0,0.0260012326019606,Fair,1.9953324431264547,False,success
0.1,2000,0.2,0.001,256,3.0,40.0,54.6875,54.094224067477086,52.81601656501837,55.372431569935806,1.8714834349816272,1.8714834349816272,0.6849315699358058,1.2782075024587165,2.556415004917433,2000.0,0.06029107253378907,Fair,2.1371249354733703,False,success
0.15,1500,0.2,1e-05,256,3.0,40.0,54.6875,54.1762498298323,52.92335804510235,55.429141614562255,1.764141954897653,1.764141954897653,0.7416416145622549,1.2528917847299539,2.5057835694599078,1500.0,0.02602381142128518,Fair,2.0247203118436436,False,success
0.2,1000,0.1,0.0001,256,3.0,40.0,54.6875,53.94059396362816,52.66239464298025,55.21879328427607,2.025105357019747,2.025105357019747,0.5312932842760674,1.2781993206479072,2.5563986412958144,1000.0,0.044182103764014435,Fair,2.2907452211493284,False,success
0.2,3000,1.0,0.001,256,3.0,40.0,54.6875,54.69924033379904,53.203075729237895,56.19540493836019,1.5079049383601912,1.484424270762105,1.5079049383601912,1.496164604561148,2.992329209122296,16.0,0.003941329563418083,Fair,1.807191192605754,True,success
