update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,30.439821481704712,30.040062069892883,30.439821481704712,48.70993793010712,48.31017851829529,0.02,0.25,0.0003,0.04977033044269774
2,32768,29.607919454574585,29.607919454574585,29.10998821258545,49.142080545425415,49.64001178741455,0.02,0.2,0.00023999999999999998,0.032250914116593775
3,49152,28.005913496017456,28.005913496017456,27.053401470184326,50.744086503982544,51.696598529815674,0.02,0.2,0.00023999999999999998,0.0343607823131606
4,65536,25.977418422698975,25.977418422698975,24.759325981140137,52.772581577301025,53.99067401885986,0.02,0.2,0.00023999999999999998,0.029773651469440665
5,81920,23.99552822113037,23.99552822113037,22.35300898551941,54.75447177886963,56.39699101448059,0.02,0.2,0.00023999999999999998,0.01945766364078736
6,98304,22.007099390029907,22.007099390029907,20.11354923248291,56.74290060997009,58.63645076751709,0.02,0.2,0.00023999999999999998,0.018516086621093563
7,114688,20.172128677368164,20.172128677368164,18.22346806526184,58.577871322631836,60.52653193473816,0.02,0.2,0.00023999999999999998,0.015071712114149705
8,131072,18.514434099197388,18.514434099197388,16.493258476257324,60.23556590080261,62.256741523742676,0.02,0.2,0.00023999999999999998,0.013063864374998957
9,147456,17.136893272399902,17.136893272399902,15.055272579193115,61.6131067276001,63.694727420806885,0.02,0.2,0.00023999999999999998,0.01035159335588105
10,163840,15.812007188796997,15.812007188796997,13.705185651779175,62.937992811203,65.04481434822083,0.02,0.2,0.00023999999999999998,0.010556341012124904
11,180224,14.602473974227905,14.602473974227905,12.484679222106934,64.1475260257721,66.26532077789307,0.02,0.2,0.00023999999999999998,0.008352836943231523
12,196608,13.411781787872314,13.411781787872314,11.283788681030273,65.33821821212769,67.46621131896973,0.02,0.2,0.00023999999999999998,0.00910991632263176
13,212992,12.325260639190674,12.325260639190674,10.198876857757568,66.42473936080933,68.55112314224243,0.02,0.2,0.00023999999999999998,0.007910053810337558
14,229376,11.474028825759888,11.474028825759888,9.416542053222656,67.27597117424011,69.33345794677734,0.02,0.2,0.00023999999999999998,0.0048363078443799164
15,245760,10.613492727279663,10.613492727279663,8.693180084228516,68.13650727272034,70.05681991577148,0.02,0.24,0.0003,0.006680763280019164
16,262144,9.545526504516602,9.545526504516602,7.976416349411011,69.2044734954834,70.77358365058899,0.02,0.288,0.00037499999999999995,0.009158049977850169
17,278528,8.345714807510376,8.345714807510376,6.733063459396362,70.40428519248962,72.01693654060364,0.02,0.288,0.00037499999999999995,0.012162125075701625
18,294912,7.307181358337402,7.307181358337402,5.856916904449463,71.4428186416626,72.89308309555054,0.02,0.288,0.00037499999999999995,0.007333073613699526
19,311296,6.218812465667725,6.218812465667725,4.72540020942688,72.53118753433228,74.02459979057312,0.02,0.34559999999999996,0.00045,0.01501683541573584
20,327680,5.448857545852661,5.448857545852661,4.405490159988403,73.30114245414734,74.3445098400116,0.02,0.34559999999999996,0.00045,0.004967864055652171
