update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,31.297112107276917,31.297112107276917,31.160024404525757,47.45288789272308,47.58997559547424,0.02,0.25,0.0003,0.048054557783348176
2,32768,30.39947807788849,30.39947807788849,29.523659348487854,48.35052192211151,49.226340651512146,0.02,0.25,0.0003,0.05467015539879867
3,49152,28.20111870765686,28.20111870765686,26.877752542495728,50.54888129234314,51.87224745750427,0.02,0.25,0.0003,0.051865655500660066
4,65536,25.665507316589355,25.665507316589355,24.137929677963257,53.084492683410645,54.61207032203674,0.02,0.25,0.0003,0.042308584165584764
5,81920,23.048267364501953,23.048267364501953,21.364591121673584,55.70173263549805,57.385408878326416,0.02,0.25,0.0003,0.03173178959987126
6,98304,20.688883066177368,20.688883066177368,18.908456563949585,58.06111693382263,59.841543436050415,0.02,0.25,0.0003,0.025769276652135888
7,114688,18.63136649131775,18.63136649131775,16.804484128952026,60.11863350868225,61.945515871047974,0.02,0.25,0.0003,0.020123130531283097
8,131072,16.97559118270874,16.97559118270874,15.102527141571045,61.77440881729126,63.647472858428955,0.02,0.25,0.0003,0.017429955763509496
9,147456,15.423694849014282,15.423694849014282,13.548985719680786,63.32630515098572,65.20101428031921,0.02,0.25,0.0003,0.016290438355645163
10,163840,14.03568148612976,14.03568148612976,12.138882875442505,64.71431851387024,66.6111171245575,0.02,0.25,0.0003,0.012984374817460776
11,180224,12.687865495681763,12.687865495681763,10.787758827209473,66.06213450431824,67.96224117279053,0.02,0.25,0.0003,0.013235952908871695
12,196608,11.430225372314453,11.430225372314453,9.578052759170532,67.31977462768555,69.17194724082947,0.02,0.25,0.0003,0.010816241172142327
13,212992,10.271594524383545,10.271594524383545,8.474287986755371,68.47840547561646,70.27571201324463,0.02,0.25,0.0003,0.00839367201551795
14,229376,9.058783054351807,9.058783054351807,7.283977270126343,69.6912169456482,71.46602272987366,0.02,0.3,0.00037499999999999995,0.015508223010692745
15,245760,8.055660724639893,8.055660724639893,6.295839548110962,70.69433927536011,72.45416045188904,0.02,0.3,0.00037499999999999995,0.012589766143355519
16,262144,7.081339359283447,7.081339359283447,5.41701078414917,71.66866064071655,73.33298921585083,0.02,0.3,0.00037499999999999995,0.0115789950825274
17,278528,6.13802433013916,6.13802433013916,4.597744941711426,72.61197566986084,74.15225505828857,0.02,0.3,0.00037499999999999995,0.010050486796535552
18,294912,5.349586009979248,5.349586009979248,4.049489498138428,73.40041399002075,74.70051050186157,0.02,0.3,0.00037499999999999995,0.007732080190908164
19,311296,4.390636682510376,4.390636682510376,3.1329548358917236,74.35936331748962,75.61704516410828,0.02,0.36,0.00045,0.012237619794905185
20,327680,3.69465708732605,3.69465708732605,2.620319128036499,75.05534291267395,76.1296808719635,0.02,0.36,0.00045,0.006088048312813043
21,344064,3.4939026832580566,3.4939026832580566,2.882627248764038,75.25609731674194,75.86737275123596,0.02,0.375,0.00045,0.0016527158208191396
22,360448,2.900484800338745,2.900484800338745,2.2916412353515625,75.84951519966125,76.45835876464844,0.02,0.375,0.00045,0.005680563533678651
23,376832,2.8300082683563232,2.8300082683563232,2.4722135066986084,75.91999173164368,76.27778649330139,0.02,0.375,0.00045,0.0005804615560919046
24,393216,2.233794927597046,2.233794927597046,1.8638527393341064,76.51620507240295,76.8861472606659,0.02,0.375,0.00045,0.006368647469207645
25,409600,2.485511302947998,2.485511302947998,2.485499382019043,76.264488697052,76.26450061798096,0.02,0.375,0.00045,0.0063317937310785055
26,425984,2.7582085132598877,2.3044025897979736,2.7582085132598877,76.44559741020203,75.99179148674011,0.02,0.375,0.00045,0.0007314207265153527
27,442368,3.506699800491333,2.535954713821411,3.506699800491333,76.21404528617859,75.24330019950867,0.02,0.375,0.00045,0.004980673640966415
28,458752,4.163310527801514,3.0229544639587402,4.163310527801514,75.72704553604126,74.58668947219849,0.02,0.375,0.00045,0.007667472353205085
29,475136,4.2257702350616455,3.2166635990142822,4.2257702350616455,75.53333640098572,74.52422976493835,0.02,0.375,0.00045,0.0015666052000597118
30,491520,4.533991813659668,3.6188995838165283,4.533991813659668,75.13110041618347,74.21600818634033,0.02,0.375,0.00045,0.004868581157643348
31,507904,4.701272249221802,3.7408626079559326,4.701272249221802,75.00913739204407,74.0487277507782,0.02,0.375,0.00045,0.0024717825930565596
32,524288,4.916433095932007,4.010961055755615,4.916433095932007,74.73903894424438,73.833566904068,0.02,0.375,0.00045,0.00294271680759266
33,540672,5.281153917312622,4.5296525955200195,5.281153917312622,74.22034740447998,73.46884608268738,0.02,0.375,0.00045,0.0053485599113628265
34,557056,5.8466410636901855,4.802719354629517,5.8466410636901855,73.94728064537048,72.90335893630981,0.02,0.375,0.00045,0.0018278145405929535
35,573440,6.446120738983154,5.372301340103149,6.446120738983154,73.37769865989685,72.30387926101685,0.02,0.375,0.00045,0.007320642477134242
36,589824,6.501845121383667,5.55860161781311,6.501845121383667,73.19139838218689,72.24815487861633,0.02,0.375,0.00045,0.003936065884772688
37,606208,6.959817409515381,5.950949192047119,6.959817409515381,72.79905080795288,71.79018259048462,0.02,0.375,0.00045,0.005495304687065073
38,622592,8.020529747009277,6.591824293136597,8.020529747009277,72.1581757068634,70.72947025299072,0.02,0.375,0.00045,0.008201845103758387
39,638976,9.037420749664307,7.137200832366943,9.037420749664307,71.61279916763306,69.7125792503357,0.02,0.375,0.00045,0.008646367782785092
40,655360,10.14878511428833,7.6818859577178955,10.14878511428833,71.0681140422821,68.60121488571167,0.02,0.375,0.00045,0.007985219047986903
41,671744,11.22632384300232,8.310643434524536,11.22632384300232,70.43935656547546,67.52367615699768,0.02,0.375,0.00045,0.006553691749286372
42,688128,12.39485502243042,8.93612265586853,12.39485502243042,69.81387734413147,66.35514497756958,0.02,0.375,0.00045,0.0076701058307662605
43,704512,13.876107931137085,9.558746814727783,13.876107931137085,69.19125318527222,64.87389206886292,0.02,0.375,0.00045,0.011696510967885843
44,720896,22.64229416847229,10.30168890953064,22.64229416847229,68.44831109046936,56.10770583152771,0.02,0.375,0.00045,0.08328399179154075
45,737280,41.36221468448639,10.981348752975464,41.36221468448639,67.76865124702454,37.38778531551361,0.02,0.30000000000000004,0.00036,0.1872878236172255
46,753664,63.44396531581879,11.63419246673584,63.44396531581879,67.11580753326416,15.306034684181213,0.02,0.24000000000000005,0.000288,0.3655350329187968
47,770048,65.80538809299469,12.61085033416748,65.80538809299469,66.13914966583252,12.94461190700531,0.02,0.19200000000000006,0.00023040000000000004,0.02258885107185051
48,786432,69.28627252578735,14.043245315551758,69.28627252578735,64.70675468444824,9.463727474212646,0.02,0.19200000000000006,0.00023040000000000004,0.06129649757931475
