ts,event,queue,idx,gpu,info,cmd
2026-06-18T03:38:46+00:00,END,jobs,9,gpu5,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 43 --exploit-eps 0.10 --ablation-name eps_010"
2026-06-18T03:38:46+00:00,START,jobs,15,gpu5,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-eps 0.03 --ablation-name eps_003"
2026-06-18T03:42:58+00:00,END,jobs,10,gpu3,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 43 --exploit-eps 0.20 --ablation-name eps_020"
2026-06-18T03:42:58+00:00,START,jobs,16,gpu3,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-eps 0.10 --ablation-name eps_010"
2026-06-18T03:43:17+00:00,END,jobs,6,gpu6,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 42 --exploit-patience 10 --ablation-name pat_10"
2026-06-18T03:43:17+00:00,START,jobs,17,gpu6,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-eps 0.20 --ablation-name eps_020"
2026-06-18T03:44:16+00:00,END,jobs,12,gpu1,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 43 --exploit-patience 3 --ablation-name pat_03"
2026-06-18T03:44:16+00:00,START,jobs,18,gpu1,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-patience 1 --ablation-name pat_01"
2026-06-18T03:46:11+00:00,END,jobs,18,gpu1,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-patience 1 --ablation-name pat_01"
2026-06-18T03:46:12+00:00,START,jobs,19,gpu1,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-patience 3 --ablation-name pat_03"
2026-06-18T03:48:42+00:00,END,jobs,15,gpu5,rc=0,"python3 run/run_two_players.py --method ppo --override-conc-ramp-warmup 200 --episodes 6144000 --run-id r5_sensitivity --q 35 --seed 44 --exploit-eps 0.03 --ablation-name eps_003"
