Method,q,Effort,|e - e*|,Exploitability,Symmetric Gap
Theory,25.0,87.50,0.000,0.0000,0.000
TEL-PPO,25.0,87.85,0.348,-,0.011
Theory,40.0,54.69,0.000,0.0000,0.000
TEL-PPO,40.0,54.36,0.323,-,0.004
Theory,55.0,39.77,0.000,0.0000,0.000
TEL-PPO,55.0,39.81,0.033,-,0.014
