step,method,q,seed,ablation,drift_effort
188416,TEL-PPO,25.0,50,baseline,
192512,TEL-PPO,25.0,50,baseline,
196608,TEL-PPO,25.0,50,baseline,
200704,TEL-PPO,25.0,50,baseline,
204800,TEL-PPO,25.0,50,baseline,
208896,TEL-PPO,25.0,50,baseline,
212992,TEL-PPO,25.0,50,baseline,
217088,TEL-PPO,25.0,50,baseline,
221184,TEL-PPO,25.0,50,baseline,
225280,TEL-PPO,25.0,50,baseline,
229376,TEL-PPO,25.0,50,baseline,
233472,TEL-PPO,25.0,50,baseline,
237568,TEL-PPO,25.0,50,baseline,
241664,TEL-PPO,25.0,50,baseline,
245760,TEL-PPO,25.0,50,baseline,
249856,TEL-PPO,25.0,50,baseline,
253952,TEL-PPO,25.0,50,baseline,
258048,TEL-PPO,25.0,50,baseline,
262144,TEL-PPO,25.0,50,baseline,
266240,TEL-PPO,25.0,50,baseline,
270336,TEL-PPO,25.0,50,baseline,
274432,TEL-PPO,25.0,50,baseline,
278528,TEL-PPO,25.0,50,baseline,
282624,TEL-PPO,25.0,50,baseline,
286720,TEL-PPO,25.0,50,baseline,
290816,TEL-PPO,25.0,50,baseline,
294912,TEL-PPO,25.0,50,baseline,
299008,TEL-PPO,25.0,50,baseline,
303104,TEL-PPO,25.0,50,baseline,
307200,TEL-PPO,25.0,50,baseline,
311296,TEL-PPO,25.0,50,baseline,
315392,TEL-PPO,25.0,50,baseline,
319488,TEL-PPO,25.0,50,baseline,
323584,TEL-PPO,25.0,50,baseline,
327680,TEL-PPO,25.0,50,baseline,
331776,TEL-PPO,25.0,50,baseline,
335872,TEL-PPO,25.0,50,baseline,
339968,TEL-PPO,25.0,50,baseline,
344064,TEL-PPO,25.0,50,baseline,
348160,TEL-PPO,25.0,50,baseline,
352256,TEL-PPO,25.0,50,baseline,
356352,TEL-PPO,25.0,50,baseline,
360448,TEL-PPO,25.0,50,baseline,
364544,TEL-PPO,25.0,50,baseline,
368640,TEL-PPO,25.0,50,baseline,
372736,TEL-PPO,25.0,50,baseline,
376832,TEL-PPO,25.0,50,baseline,
380928,TEL-PPO,25.0,50,baseline,
385024,TEL-PPO,25.0,50,baseline,
389120,TEL-PPO,25.0,50,baseline,
393216,TEL-PPO,25.0,50,baseline,
397312,TEL-PPO,25.0,50,baseline,
401408,TEL-PPO,25.0,50,baseline,
405504,TEL-PPO,25.0,50,baseline,
409600,TEL-PPO,25.0,50,baseline,
413696,TEL-PPO,25.0,50,baseline,
417792,TEL-PPO,25.0,50,baseline,
421888,TEL-PPO,25.0,50,baseline,
425984,TEL-PPO,25.0,50,baseline,
430080,TEL-PPO,25.0,50,baseline,
434176,TEL-PPO,25.0,50,baseline,
438272,TEL-PPO,25.0,50,baseline,
442368,TEL-PPO,25.0,50,baseline,
446464,TEL-PPO,25.0,50,baseline,
450560,TEL-PPO,25.0,50,baseline,
454656,TEL-PPO,25.0,50,baseline,
458752,TEL-PPO,25.0,50,baseline,
462848,TEL-PPO,25.0,50,baseline,
466944,TEL-PPO,25.0,50,baseline,
471040,TEL-PPO,25.0,50,baseline,
475136,TEL-PPO,25.0,50,baseline,
479232,TEL-PPO,25.0,50,baseline,
483328,TEL-PPO,25.0,50,baseline,
487424,TEL-PPO,25.0,50,baseline,
491520,TEL-PPO,25.0,50,baseline,
495616,TEL-PPO,25.0,50,baseline,
499712,TEL-PPO,25.0,50,baseline,
503808,TEL-PPO,25.0,50,baseline,
507904,TEL-PPO,25.0,50,baseline,
512000,TEL-PPO,25.0,50,baseline,
516096,TEL-PPO,25.0,50,baseline,
520192,TEL-PPO,25.0,50,baseline,
524288,TEL-PPO,25.0,50,baseline,
528384,TEL-PPO,25.0,50,baseline,
532480,TEL-PPO,25.0,50,baseline,
536576,TEL-PPO,25.0,50,baseline,
540672,TEL-PPO,25.0,50,baseline,
544768,TEL-PPO,25.0,50,baseline,
548864,TEL-PPO,25.0,50,baseline,
552960,TEL-PPO,25.0,50,baseline,
557056,TEL-PPO,25.0,50,baseline,
561152,TEL-PPO,25.0,50,baseline,
565248,TEL-PPO,25.0,50,baseline,
569344,TEL-PPO,25.0,50,baseline,
0,TEL-PPO,25.0,1024,baseline,
0,TEL-PPO,25.0,1024,baseline,
0,TEL-PPO,25.0,1024,baseline,
4096,TEL-PPO,25.0,1024,baseline,
4096,TEL-PPO,25.0,1024,baseline,
4096,TEL-PPO,25.0,1024,baseline,
8192,TEL-PPO,25.0,1024,baseline,
8192,TEL-PPO,25.0,1024,baseline,
8192,TEL-PPO,25.0,1024,baseline,
12288,TEL-PPO,25.0,1024,baseline,
12288,TEL-PPO,25.0,1024,baseline,
12288,TEL-PPO,25.0,1024,baseline,
16384,TEL-PPO,25.0,1024,baseline,
16384,TEL-PPO,25.0,1024,baseline,
16384,TEL-PPO,25.0,1024,baseline,
20480,TEL-PPO,25.0,1024,baseline,
20480,TEL-PPO,25.0,1024,baseline,
20480,TEL-PPO,25.0,1024,baseline,
24576,TEL-PPO,25.0,1024,baseline,
24576,TEL-PPO,25.0,1024,baseline,
24576,TEL-PPO,25.0,1024,baseline,
28672,TEL-PPO,25.0,1024,baseline,
28672,TEL-PPO,25.0,1024,baseline,
28672,TEL-PPO,25.0,1024,baseline,
32768,TEL-PPO,25.0,1024,baseline,
32768,TEL-PPO,25.0,1024,baseline,
32768,TEL-PPO,25.0,1024,baseline,
36864,TEL-PPO,25.0,1024,baseline,
36864,TEL-PPO,25.0,1024,baseline,
36864,TEL-PPO,25.0,1024,baseline,
40960,TEL-PPO,25.0,1024,baseline,
40960,TEL-PPO,25.0,1024,baseline,
40960,TEL-PPO,25.0,1024,baseline,
45056,TEL-PPO,25.0,1024,baseline,
45056,TEL-PPO,25.0,1024,baseline,
45056,TEL-PPO,25.0,1024,baseline,
49152,TEL-PPO,25.0,1024,baseline,
49152,TEL-PPO,25.0,1024,baseline,
