Episode,Effort,Reward,Loss
214,49.73,3.05,7.9453
215,48.85,3.03,3.8852
216,48.16,3.07,2.8183
217,47.04,3.08,5.142
218,47.87,3.03,3.0931
219,48.54,3.06,2.8716
220,46.77,2.91,6.4613
221,48.56,3.11,2.9303
222,48.39,2.96,2.7275
223,49.13,3.03,3.8149
224,47.26,3.03,4.4934
225,48.18,3.05,2.825
226,48.48,2.94,2.7728
227,48.79,3.1,3.3189
228,48.92,3.02,3.4508
229,48.83,2.95,3.1566
230,48.3,3.04,2.7995
231,46.84,2.97,6.3248
232,46.75,2.95,6.5692
233,48.77,3.03,3.1504
234,50.08,3.11,8.2768
235,48.41,3.01,2.8015
236,48.51,2.98,2.8145
237,47.07,2.91,4.9868
238,48.62,3.07,2.9637
239,48.17,2.98,2.768
240,49.19,2.96,3.8893
241,48.3,3.0,2.7557
242,49.08,2.91,3.4314
243,48.54,3.0,2.7777
244,48.79,2.98,2.8902
245,49.04,2.99,3.1182
246,48.47,3.08,2.8673
247,49.13,2.98,3.0299
248,48.84,2.95,2.7139
249,50.11,3.04,5.2516
250,49.29,3.02,2.9321
251,48.71,3.01,2.9888
252,50.45,3.03,5.1614
253,50.98,2.98,6.6871
254,51.01,2.97,5.8881
255,49.51,3.03,2.9074
256,49.45,3.08,3.3154
257,50.51,3.06,2.9786
258,51.45,3.04,4.6507
259,49.75,3.01,3.7057
260,48.79,3.09,8.401
261,51.55,3.18,3.9888
262,50.21,3.04,3.3194
263,50.79,3.02,2.7785
264,50.67,3.08,2.891
265,51.52,3.09,3.447
266,51.94,3.07,4.3435
267,51.02,3.14,2.8816
268,53.45,3.12,11.3902
269,50.58,3.07,3.6065
270,50.58,3.17,4.0399
271,51.58,3.16,2.9177
272,51.99,3.04,3.0539
273,51.24,3.08,3.1136
274,51.53,3.16,2.963
275,52.53,3.24,3.9167
276,52.65,3.13,3.8991
277,51.66,3.09,2.9713
278,51.36,3.11,3.5445
279,52.84,3.09,3.7625
280,53.25,3.23,4.9361
281,51.08,3.19,5.1893
282,52.06,3.05,2.9129
283,54.28,3.29,9.0896
284,54.55,3.25,9.9332
285,53.69,3.15,4.4287
286,52.3,3.08,3.477
287,51.06,3.21,9.7886
288,55.34,3.15,10.104
289,51.21,3.15,10.1461
290,54.89,3.18,6.4538
291,52.31,3.12,5.0907
292,51.14,3.2,12.2677
293,52.44,3.18,4.6321
294,53.86,3.24,3.3815
295,52.52,3.23,3.9116
296,55.09,3.39,9.3665
297,54.32,3.23,5.1111
298,53.85,3.13,3.5023
299,53.1,3.12,2.9232
300,55.02,3.24,7.4825
301,53.89,3.32,3.3296
302,54.58,3.23,4.4491
303,53.26,3.29,3.4784
