Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
77,5.47,3.0367,-0.3798,-2.1512,0.0,0.000100,0.4809
78,0.0,4.3214,0.8744,4.4905,0.0,0.000100,0.4806
79,48.61,2.5973,-0.816,-4.0682,0.0,0.000100,0.4804
80,100.0,2.4855,-0.9158,-5.0547,0.0,0.000100,0.4801
81,72.08,1.896,-1.4693,-7.3542,0.0,0.000100,0.4799
82,51.52,2.8328,-0.5459,-2.7705,0.0,0.000100,0.4797
83,42.55,4.0712,0.6685,3.0553,0.0,0.000100,0.4794
84,83.84,1.4621,-1.86,-9.5317,0.0,0.000100,0.4792
85,0.0,4.75,1.32,6.874,0.0,0.000100,0.479
86,3.16,3.5997,0.2037,0.9122,0.0,0.000100,0.4787
87,55.6,4.8354,1.3847,6.4892,0.0,0.000100,0.4785
88,76.93,3.826,0.4034,1.8429,0.0,0.000100,0.4782
89,0.0,4.3702,0.9239,4.7646,0.0,0.000100,0.478
90,16.29,3.0163,-0.3935,-2.1346,0.0,0.000100,0.4778
91,61.51,4.6465,1.1873,5.5669,0.0,0.000100,0.4775
92,0.0,3.0145,-0.4048,-2.3185,0.0,0.000100,0.4773
93,28.08,5.214,1.7169,8.2415,0.0,0.000100,0.477
94,98.92,1.8957,-1.4798,-8.0223,0.0,0.000100,0.4768
95,73.77,2.8121,-0.5914,-3.0567,0.0,0.000100,0.4766
96,88.42,3.0433,-0.3656,-2.0254,0.0,0.000100,0.4763
97,87.53,2.8089,-0.5894,-3.1596,0.0,0.000100,0.4761
98,37.18,5.1801,1.6901,7.991,0.0,0.000100,0.4758
99,40.62,5.1439,1.6247,7.6481,0.0,0.000100,0.4756
100,0.0,4.1155,0.635,3.2228,0.0,0.000100,0.4754
101,47.96,3.5225,0.0649,0.1584,0.0,0.000100,0.4751
102,38.79,5.1647,1.6213,7.6404,0.0,0.000100,0.4749
103,31.78,2.8485,-0.5931,-3.0331,0.0,0.000100,0.4747
104,86.88,2.6149,-0.811,-4.2836,0.0,0.000100,0.4744
105,14.66,3.0589,-0.3817,-2.0902,0.0,0.000100,0.4742
106,41.81,4.5762,1.0733,4.9878,0.0,0.000100,0.4739
107,100.0,2.1148,-1.2868,-7.036,0.0,0.000100,0.4737
108,44.23,5.0919,1.5533,7.2745,0.0,0.000100,0.4735
