update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr
1,8192,32.00247943401337,31.772104501724243,32.00247943401337,46.97789549827576,46.74752056598663,0.02,0.25,0.0003
2,16384,30.387020707130432,30.387020707130432,29.78282928466797,48.36297929286957,48.96717071533203,0.01964,0.25,0.0003
3,24576,28.174684047698975,28.174684047698975,27.287719249725342,50.575315952301025,51.46228075027466,0.019280000000000002,0.25,0.0003
4,32768,25.555936098098755,25.555936098098755,24.40345048904419,53.194063901901245,54.34654951095581,0.01892,0.25,0.0003
5,40960,22.942951917648315,22.942951917648315,21.662715673446655,55.807048082351685,57.087284326553345,0.01856,0.25,0.0003
6,49152,20.608845949172974,20.608845949172974,19.184330701828003,58.141154050827026,59.565669298172,0.0182,0.25,0.0003
7,57344,18.703172206878662,18.703172206878662,17.20740556716919,60.04682779312134,61.54259443283081,0.01784,0.25,0.0003
8,65536,16.919676065444946,16.919676065444946,15.361378192901611,61.830323934555054,63.38862180709839,0.01748,0.25,0.0003
9,73728,15.307185649871826,15.307185649871826,13.73038649559021,63.442814350128174,65.01961350440979,0.01712,0.25,0.0003
10,81920,13.853040933609009,13.853040933609009,12.360862493515015,64.89695906639099,66.38913750648499,0.01676,0.25,0.0003
11,90112,12.588355541229248,12.588355541229248,11.078057289123535,66.16164445877075,67.67194271087646,0.016399999999999998,0.25,0.0003
12,98304,11.471185684204102,11.471185684204102,10.115704536437988,67.2788143157959,68.63429546356201,0.01604,0.25,0.0003
13,106496,10.373607873916626,10.373607873916626,9.036526679992676,68.37639212608337,69.71347332000732,0.01568,0.25,0.0003
14,114688,9.364447593688965,9.364447593688965,8.064249753952026,69.38555240631104,70.68575024604797,0.01532,0.25,0.0003
15,122880,8.46840500831604,8.46840500831604,7.293072938919067,70.28159499168396,71.45692706108093,0.01496,0.25,0.0003
16,131072,7.826015949249268,7.826015949249268,6.783208847045898,70.92398405075073,71.9667911529541,0.0146,0.25,0.0003
17,139264,7.147101163864136,7.147101163864136,6.170622110366821,71.60289883613586,72.57937788963318,0.01424,0.25,0.0003
18,147456,6.473890542984009,6.473890542984009,5.609527826309204,72.27610945701599,73.1404721736908,0.01388,0.25,0.0003
19,155648,5.934844017028809,5.934844017028809,5.164364576339722,72.81515598297119,73.58563542366028,0.01352,0.25,0.0003
20,163840,5.943516492843628,5.943516492843628,5.345872640609741,72.80648350715637,73.40412735939026,0.01316,0.25,0.0003
21,172032,5.360159873962402,5.360159873962402,4.867944717407227,73.3898401260376,73.88205528259277,0.012799999999999999,0.25,0.0003
22,180224,5.174628496170044,5.174628496170044,4.752991199493408,73.57537150382996,73.99700880050659,0.01244,0.25,0.0003
23,188416,4.962358474731445,4.962358474731445,4.6154773235321045,73.78764152526855,74.1345226764679,0.012079999999999999,0.25,0.0003
24,196608,4.411903619766235,4.411903619766235,4.050711393356323,74.33809638023376,74.69928860664368,0.01172,0.25,0.0003
25,204800,3.978559970855713,3.978559970855713,3.630892038345337,74.77144002914429,75.11910796165466,0.01136,0.25,0.0003
26,212992,3.5155510902404785,3.5155510902404785,3.146979808807373,75.23444890975952,75.60302019119263,0.011,0.25,0.0003
27,221184,3.1378543376922607,3.1378543376922607,2.834639549255371,75.61214566230774,75.91536045074463,0.010639999999999998,0.25,0.0003
28,229376,2.841106653213501,2.841106653213501,2.59110689163208,75.9088933467865,76.15889310836792,0.01028,0.25,0.0003
29,237568,3.3688998222351074,3.3688998222351074,3.1900739669799805,75.38110017776489,75.55992603302002,0.009919999999999998,0.25,0.0003
30,245760,2.911839485168457,2.911839485168457,2.777132987976074,75.83816051483154,75.97286701202393,0.009559999999999999,0.25,0.0003
31,253952,3.180161714553833,3.180161714553833,3.1215405464172363,75.56983828544617,75.62845945358276,0.0092,0.25,0.0003
32,262144,3.431156873703003,3.4271395206451416,3.431156873703003,75.32286047935486,75.318843126297,0.008839999999999999,0.25,0.0003
33,270336,2.877984046936035,2.877984046936035,2.874389886856079,75.87201595306396,75.87561011314392,0.00848,0.25,0.0003
34,278528,2.615872621536255,2.607635259628296,2.615872621536255,76.1423647403717,76.13412737846375,0.008119999999999999,0.25,0.0003
35,286720,3.2073354721069336,3.15793514251709,3.2073354721069336,75.59206485748291,75.54266452789307,0.007759999999999998,0.25,0.0003
36,294912,3.4814929962158203,3.383347988128662,3.4814929962158203,75.36665201187134,75.26850700378418,0.0074,0.25,0.0003
37,303104,3.6242401599884033,3.4973061084747314,3.6242401599884033,75.25269389152527,75.1257598400116,0.007039999999999999,0.25,0.0003
38,311296,3.152022361755371,3.0501580238342285,3.152022361755371,75.69984197616577,75.59797763824463,0.0066799999999999984,0.25,0.0003
39,319488,2.7815616130828857,2.6801741123199463,2.7815616130828857,76.06982588768005,75.96843838691711,0.006319999999999999,0.25,0.0003
40,327680,2.9377496242523193,2.80964732170105,2.9377496242523193,75.94035267829895,75.81225037574768,0.005959999999999998,0.25,0.0003
41,335872,3.245065212249756,3.0723845958709717,3.245065212249756,75.67761540412903,75.50493478775024,0.005599999999999997,0.25,0.0003
42,344064,3.5497939586639404,3.3234572410583496,3.5497939586639404,75.42654275894165,75.20020604133606,0.00524,0.25,0.0003
43,352256,3.0628955364227295,2.8702950477600098,3.0628955364227295,75.87970495223999,75.68710446357727,0.004879999999999999,0.25,0.0003
44,360448,3.4801697731018066,3.2240724563598633,3.4801697731018066,75.52592754364014,75.2698302268982,0.004519999999999998,0.25,0.0003
45,368640,3.717437982559204,3.393200635910034,3.717437982559204,75.35679936408997,75.0325620174408,0.004159999999999997,0.25,0.0003
46,376832,3.5138463973999023,3.15035343170166,3.5138463973999023,75.59964656829834,75.2361536026001,0.003799999999999998,0.25,0.0003
47,385024,3.096613883972168,2.7719414234161377,3.096613883972168,75.97805857658386,75.65338611602783,0.0034399999999999986,0.25,0.0003
48,393216,3.1786060333251953,2.713463306427002,3.1786060333251953,76.036536693573,75.5713939666748,0.0030799999999999994,0.25,0.0003
49,401408,3.7407493591308594,3.186849355697632,3.7407493591308594,75.56315064430237,75.00925064086914,0.00272,0.25,0.0003
50,409600,3.2328641414642334,2.8221166133880615,3.2328641414642334,75.92788338661194,75.51713585853577,0.0023599999999999975,0.25,0.0003
51,417792,3.3500170707702637,2.902052402496338,3.3500170707702637,75.84794759750366,75.39998292922974,0.0019999999999999983,0.25,0.0003
52,425984,2.7448928356170654,2.40148663520813,2.7448928356170654,76.34851336479187,76.00510716438293,0.0019999999999999983,0.25,0.0003
53,434176,3.2255208492279053,2.765653133392334,3.2255208492279053,75.98434686660767,75.5244791507721,0.0019999999999999983,0.25,0.0003
54,442368,3.6979591846466064,3.0836081504821777,3.6979591846466064,75.66639184951782,75.0520408153534,0.0019999999999999983,0.25,0.0003
55,450560,3.175262212753296,2.661231756210327,3.175262212753296,76.08876824378967,75.5747377872467,0.0019999999999999983,0.25,0.0003
56,458752,3.656623363494873,3.068474531173706,3.656623363494873,75.6815254688263,75.09337663650513,0.0019999999999999983,0.25,0.0003
57,466944,4.111502170562744,3.4117674827575684,4.111502170562744,75.33823251724243,74.63849782943726,0.0019999999999999983,0.25,0.0003
58,475136,3.5881316661834717,3.0555641651153564,3.5881316661834717,75.69443583488464,75.16186833381653,0.0019999999999999983,0.25,0.0003
59,483328,3.4745192527770996,3.0378198623657227,3.4745192527770996,75.71218013763428,75.2754807472229,0.0019999999999999983,0.25,0.0003
60,491520,3.0856943130493164,2.7439332008361816,3.0856943130493164,76.00606679916382,75.66430568695068,0.0019999999999999983,0.25,0.0003
61,499712,3.2311058044433594,2.828500270843506,3.2311058044433594,75.9214997291565,75.51889419555664,0.0019999999999999983,0.25,0.0003
62,507904,3.5745954513549805,3.069303035736084,3.5745954513549805,75.68069696426392,75.17540454864502,0.0019999999999999983,0.25,0.0003
63,516096,3.130844831466675,2.685520648956299,3.130844831466675,76.0644793510437,75.61915516853333,0.0019999999999999983,0.25,0.0003
64,524288,2.708921432495117,2.37440824508667,2.708921432495117,76.37559175491333,76.04107856750488,0.0019999999999999983,0.25,0.0003
65,532480,2.3389732837677,2.058640718460083,2.3389732837677,76.69135928153992,76.4110267162323,0.0019999999999999983,0.25,0.0003
66,540672,2.60634183883667,2.275726795196533,2.60634183883667,76.47427320480347,76.14365816116333,0.0019999999999999983,0.25,0.0003
67,548864,2.8417325019836426,2.3659861087799072,2.8417325019836426,76.38401389122009,75.90826749801636,0.0019999999999999983,0.25,0.0003
68,557056,3.2944953441619873,2.756772041320801,3.2944953441619873,75.9932279586792,75.45550465583801,0.0019999999999999983,0.25,0.0003
