update,step,gap,e1,e2
55800,55800,3.6124353916917684,37.96160894541078,37.95735832458976
55900,55900,3.6124771060891163,37.96165065980813,37.95747084992602
56000,56000,3.612518180060185,37.9616917337792,37.95758164767441
56100,56100,3.6125586234303384,37.96173217714935,37.95769074435734
56200,56200,3.6125984458808134,37.961771999599826,37.95779816609054
56300,56300,3.6126376569434484,37.96181121066246,37.957903938587336
56400,56400,3.612676266010318,37.96184981972933,37.958008087171855
56500,56500,3.6127142823166736,37.961887836035686,37.958110636777896
56600,56600,3.6127517149719566,37.96192526869097,37.95821161194379
56700,56700,3.612788572931926,37.96196212665094,37.95831103684975
