update,step,gap,e1,e2
83500,83500,19.99534617448049,89.99534617448049,89.99455340209035
83600,83600,19.995424241142643,89.99542424114264,89.9946619451249
83700,83700,19.99550145589943,89.99550145589943,89.99476930367955
83800,83800,19.995577828051097,89.9955778280511,89.99487549068341
83900,83900,19.995653366787707,89.9956533667877,89.9949805189182
84000,84000,19.995728081206877,89.99572808120688,89.99508440103237
84100,84100,19.995801980297514,89.99580198029751,89.99518714953192
84200,84200,19.995875072964083,89.99587507296408,89.9952887767847
84300,84300,19.995947368013972,89.99594736801397,89.99538929502472
84400,84400,19.996018874131607,89.99601887413161,89.9954887163592
