update,step,gap,e1,e2
89500,89500,19.995367083942213,89.99536708394221,89.99458247439772
89600,89600,19.995444922426714,89.99544492242671,89.99469070018134
89700,89700,19.99552191149695,89.99552191149695,89.99479774494648
89800,89800,19.995598060426005,89.995598060426,89.9949036215899
89900,89900,19.99567337837631,89.99567337837631,89.99500834285072
90000,90000,19.995747874423998,89.995747874424,89.99511192133613
90100,90100,19.995821557527478,89.99582155752748,89.99521436951835
90200,90200,19.995894436569486,89.99589443656949,89.99531569972925
90300,90300,19.995966520317666,89.99596652031767,89.99541592417035
90400,90400,19.996037817442314,89.99603781744231,89.99551505491085
