update,step,gap,e1,e2
99000,99000,0.0037191319444644932,78.74671074742018,78.74628086805554
99100,99100,0.0036525475372428673,78.74675705048972,78.74634745246276
99200,99200,0.0035865826236971543,78.74680292276953,78.7464134173763
99300,99300,0.0035212314341350748,78.74684836825405,78.74647876856586
99400,99400,0.0034564882626000326,78.74689339092394,78.7465435117374
99500,99500,0.0033923474535555442,78.74693799470695,78.74660765254644
99600,99600,0.0033288034011889067,78.74698218350518,78.74667119659881
99700,99700,0.003265850552040206,78.74702596117959,78.74673414944796
99800,99800,0.003203483409947694,78.74706933155245,78.74679651659005
99900,99900,0.0031416965204300595,78.74711229841274,78.74685830347957
