update,step,gap,e1,e2
99000,99000,3.6155157719042847,37.96432663877389,37.9646893256233
99100,99100,3.615515744662005,37.96432662867639,37.96468929838102
99200,99200,3.615515717836608,37.96432661873516,37.96468927155562
99300,99300,3.615515691425202,37.964326608943956,37.964689245144214
99400,99400,3.615515665418002,37.96432659930323,37.964689219137014
99500,99500,3.6155156398126067,37.96432658980985,37.96468919353162
99600,99600,3.615515614596461,37.964326580459925,37.96468916831547
99700,99700,3.6155155897679947,37.964326571256315,37.96468914348701
99800,99800,3.615515565320287,37.96432656219214,37.9646891190393
99900,99900,3.615515541249785,37.964326553272564,37.9646890949688
