update,step,gap,e1,e2
54900,54900,4.129253324341434,43.38545167144888,43.382175010494095
55000,55000,4.1292988506157755,43.38549719772322,43.38228932138404
55100,55100,4.1293435282314945,43.38554187533894,43.38240150137317
55200,55200,4.129387372993797,43.38558572010124,43.38251159018356
55300,55300,4.129430400445308,43.38562874755275,43.382619626794686
55400,55400,4.129472625816064,43.385670972923506,43.38272564946714
55500,55500,4.1295140640499,43.38571241115734,43.38282969573686
55600,55600,4.1295547298216775,43.38575307692912,43.38293180245003
55700,55700,4.129594637530623,43.385792984638066,43.38303200576405
55800,55800,4.129633801311542,43.385832148418984,43.38313034115671
