update,step,gap,e1,e2
99000,99000,0.00047961509981320205,51.26905163490019,51.26963234451044
99100,99100,0.00047823102904942516,51.26905301897095,51.26963508322613
99200,99200,0.0004768651831241755,51.269054384816876,51.26963778588377
99300,99300,0.00047551731978501266,51.269055732680215,51.269640452957255
99400,99400,0.00047418720541259063,51.26905706279459,51.26964308491504
99500,99500,0.00047287460133560444,51.269058375398664,51.26964568221497
99600,99600,0.0004715792848983824,51.2690596707151,51.269648245318976
99700,99700,0.00047030101806910807,51.26906094898193,51.2696507746755
99800,99800,0.000469039589901854,51.2690622104101,51.26965327072754
99900,99900,0.00046779477172975703,51.26906345522827,51.2696557339139
