update,step,gap,e1,e2
40600,40600,7.8201252394015555,58.59727325088502,58.601375239401555
40700,40700,7.820012718021374,58.59721317890728,58.601262718021374
40800,40800,7.81990197378618,58.597154055599255,58.60115197378618
40900,40900,7.8197929786265945,58.59709586598502,58.601042978626595
41000,41000,7.819685704923835,58.59703859532762,58.600935704923835
41100,41100,7.819580125484919,58.596982229119746,58.60083012548492
41200,41200,7.819476213555156,58.59692675308542,58.600726213555156
41300,41300,7.819373942800951,58.596872153174424,58.60062394280095
41400,41400,7.819273287304725,58.59681841554842,58.600523287304725
41500,41500,7.81917422155032,58.5967655265903,58.60042422155032
