update,step,gap,e1,e2
55400,55400,6.844688646038662,51.27342311758339,51.27828239603866
55500,55500,6.844577492358077,51.27336694385121,51.27817124235808
55600,55600,6.84446780219595,51.2733115097327,51.27806155219595
55700,55700,6.844359556280018,51.27325680548664,51.27795330628002
55800,55800,6.844252735596669,51.27320282151118,51.27784648559667
55900,55900,6.844147321378095,51.27314954832007,51.277741071378095
56000,56000,6.844043295107511,51.27309697655511,51.27763704510751
56100,56100,6.843940638512045,51.27304509698391,51.277534388512045
56200,56200,6.843839333555515,51.27299390048565,51.277433083555515
56300,56300,6.843739362444232,51.27294337806855,51.27733311244423
