update,step,gap,e1,e2
59600,59600,7.808428641484092,58.58967864148409,58.58715005145303
59700,59700,7.808488518440157,58.58973851844016,58.58726220461833
59800,59800,7.808547449676567,58.58979744967657,58.587372586430604
59900,59900,7.808605450164357,58.58985545016436,58.58748122485971
60000,60000,7.808662534590681,58.58991253459068,58.58758814744351
60100,60100,7.808718717415367,58.58996871741537,58.587693381284694
60200,60200,7.808774012885728,58.59002401288573,58.5877969530508
60300,60300,7.8088284350223915,58.59007843502239,58.58789888899575
60400,60400,7.80888199760156,58.59013199760156,58.587999214954515
60500,60500,7.808934714216832,58.59018471421683,58.5880979563567
