update,step,gap,e1,e2
49000,49000,4.129258266812634,43.38545661392008,43.382187423057566
49100,49100,4.129303701005398,43.38550204811284,43.38230150257238
49200,49200,4.1293482882456445,43.38554663535309,43.382413455497385
49300,49300,4.129392044324767,43.38559039143221,43.38252332147691
49400,49400,4.1294349847319225,43.385633331839365,43.382631139411835
49500,49500,4.129477124679106,43.38567547178655,43.3827369474769
49600,49600,4.129518479079117,43.38571682618656,43.38284078314907
49700,49700,4.129559062584661,43.385757409692104,43.382942683185384
49800,49800,4.129598889566765,43.38579723667421,43.38304268367049
49900,49900,4.129637974122431,43.385836321229874,43.38314082001522
