update,step,gap,e1,e2
94600,94600,17.493660717220266,78.74366071722027,78.74189488508846
94700,94700,17.49373539722606,78.74373539722606,78.74200227591378
94800,94800,17.493809382425326,78.74380938242533,78.74210866759591
94900,94900,17.493882679275117,78.74388267927512,78.74221406942941
95000,95000,17.493955294185554,78.74395529418555,78.74231849062573
95100,95100,17.49402723349918,78.74402723349918,78.74242194030579
95200,95200,17.494098503504006,78.744098503504,78.74252442751097
95300,95300,17.49416911043207,78.74416911043207,78.7426259611922
95400,95400,17.494239060436144,78.74423906043614,78.74272655022695
95500,95500,17.494308359644307,78.74430835964431,78.74282620339872
