Episode,Effort,Raw_Reward,Normalized_Reward,Policy_Loss,Value_Loss,Total_Loss,KL_Div,Entropy,LR,Advantage_Mean,Advantage_Std
0,174.5984649658203,tensor(-7.4518),tensor(-7.4518),6.184524238109589,55.2990665435791,61.48359078168869,0.6411622874438763,0.7408460378646851,0.004999999888966952,-7.451789379119873,nan
1,175.72805786132812,tensor(-7.5739),tensor(-7.5739),6.894761145114899,57.15840244293213,64.05316358804703,0.2324278373271227,0.7706256583333015,0.004999999555867817,-7.573509693145752,nan
2,177.15939331054688,tensor(-7.7394),tensor(-7.7394),8.684558033943176,59.7524471282959,68.43700516223907,-0.10423950850963593,0.7942494302988052,0.004999999000702629,-7.738736152648926,nan
3,175.74562072753906,tensor(-7.6483),tensor(-7.6483),7.6194988489151,58.41048288345337,66.02998173236847,0.00471390038728714,0.8076980859041214,0.004999998223471441,-7.6475067138671875,nan
4,175.56935119628906,tensor(-7.6810),tensor(-7.6810),7.870167076587677,58.9131236076355,66.78329068422318,0.024586468935012817,0.813948467373848,0.004999997224174331,-7.680131435394287,nan
5,175.92127990722656,tensor(-7.6105),tensor(-7.6105),7.385579824447632,57.85765600204468,65.24323582649231,0.03755894675850868,0.8022537529468536,0.004999996002811398,-7.609521865844727,nan
6,176.2801055908203,tensor(-7.7295),tensor(-7.7295),7.80192643404007,59.688435554504395,67.49036198854446,-0.008235730230808258,0.7971799150109291,0.004999994559382763,-7.728390216827393,nan
7,176.93960571289062,tensor(-7.7481),tensor(-7.7481),6.662277638912201,59.96536874771118,66.62764638662338,0.3226770609617233,0.8058521300554276,0.004999992893888569,-7.7469706535339355,nan
8,176.1613311767578,tensor(-7.6286),tensor(-7.6286),7.5953574776649475,57.97647571563721,65.57183319330215,0.005581233650445938,0.8252396956086159,0.004999991006328978,-7.627325534820557,nan
9,176.72755432128906,tensor(-7.6143),tensor(-7.6143),7.8671539425849915,57.75858736038208,65.62574130296707,0.012829609215259552,0.8706078007817268,0.004999988896704178,-7.612743854522705,nan
10,176.310546875,tensor(-7.6601),tensor(-7.6601),6.936161279678345,58.54366207122803,65.47982335090637,0.14560610800981522,0.892497293651104,0.004999986565014375,-7.658260822296143,nan
11,175.91343688964844,tensor(-7.5983),tensor(-7.5983),6.585489273071289,57.62066650390625,64.20615577697754,0.344380097463727,0.9074846059083939,0.004999984011259803,-7.596311569213867,nan
12,174.42100524902344,tensor(-7.3852),tensor(-7.3852),8.392198264598846,54.33809852600098,62.73029679059982,-0.12480730935931206,0.9177034497261047,0.004999981235440711,-7.382998943328857,nan
13,173.9518280029297,tensor(-7.4218),tensor(-7.4218),6.767265021800995,54.933340072631836,61.70060509443283,0.24120750091969967,0.9261568263173103,0.0049999782375573735,-7.419440746307373,nan
14,174.90467834472656,tensor(-7.5032),tensor(-7.5032),6.411980092525482,56.138941287994385,62.55092138051987,0.3269876502454281,0.9445902407169342,0.004999975017610087,-7.500604629516602,nan
15,175.7496795654297,tensor(-7.6151),tensor(-7.6151),6.810437858104706,57.718005657196045,64.52844351530075,0.15498812682926655,0.9596520140767097,0.004999971575599168,-7.612303733825684,nan
16,176.03916931152344,tensor(-7.7239),tensor(-7.7239),7.8905638456344604,59.399468421936035,67.2900322675705,-0.01576700434088707,0.972976878285408,0.004999967911524957,-7.720686912536621,nan
17,176.2578125,tensor(-7.6979),tensor(-7.6979),7.609543085098267,59.06283664703369,66.67237973213196,0.011254280805587769,0.9891211837530136,0.004999964025387816,-7.694422245025635,nan
18,176.7488555908203,tensor(-7.7771),tensor(-7.7771),7.810201585292816,60.3266806602478,68.13688224554062,-0.004154957830905914,1.019390046596527,0.004999959917188129,-7.7734293937683105,nan
19,178.3185272216797,tensor(-7.8371),tensor(-7.8371),7.045113980770111,61.27416133880615,68.31927531957626,0.4167180210351944,1.0417001396417618,0.004999955586926301,-7.833329677581787,nan
20,175.50946044921875,tensor(-7.5853),tensor(-7.5853),8.032378435134888,57.39453935623169,65.42691779136658,-0.057197727262973785,1.065773367881775,0.004999951034602759,-7.581358909606934,nan
21,175.004638671875,tensor(-7.4828),tensor(-7.4828),6.3167078495025635,55.839765548706055,62.15647339820862,0.3512307330965996,1.083193764090538,0.004999946260217951,-7.478799819946289,nan
22,177.11053466796875,tensor(-7.7132),tensor(-7.7132),7.620608031749725,59.190674781799316,66.81128281354904,0.013459615409374237,1.0919898450374603,0.004999941263772352,-7.708919525146484,nan
23,176.3130645751953,tensor(-7.6329),tensor(-7.6329),7.6550487875938416,58.05877113342285,65.7138199210167,-0.002998191863298416,1.1008349359035492,0.004999936045266452,-7.628358840942383,nan
24,176.48817443847656,tensor(-7.6682),tensor(-7.6682),7.560093820095062,58.579705238342285,66.13979905843735,0.013993505388498306,1.1298934519290924,0.0049999306047007665,-7.663395404815674,nan
25,176.2325439453125,tensor(-7.6682),tensor(-7.6682),7.372263252735138,58.475154399871826,65.84741765260696,0.03905719891190529,1.2035825848579407,0.004999924942075833,-7.6631388664245605,nan
26,175.59645080566406,tensor(-7.4736),tensor(-7.4736),7.8215556144714355,55.60204839706421,63.423604011535645,-0.04225359484553337,1.277499794960022,0.004999919057392211,-7.468202590942383,nan
27,175.75527954101562,tensor(-7.6028),tensor(-7.6028),6.618384599685669,57.62135934829712,64.23974394798279,0.18786106631159782,1.3122523725032806,0.004999912950650481,-7.597195148468018,nan
28,177.00933837890625,tensor(-7.7421),tensor(-7.7421),7.395140826702118,59.61928415298462,67.01442497968674,0.05597488209605217,1.3360792100429535,0.004999906621851244,-7.736311912536621,nan
