ts,event,queue,idx,gpu,info,cmd
2026-07-31T22:44:47+00:00,END,jobs,7,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:44:47+00:00,START,jobs,14,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T23:00:07+00:00,END,jobs,3,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 45 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T23:00:07+00:00,START,jobs,15,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T02:44:42+00:00,END,jobs,15,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T02:44:42+00:00,START,jobs,16,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T03:26:27+00:00,END,jobs,9,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:26:27+00:00,START,jobs,17,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T03:30:30+00:00,END,jobs,8,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:30:30+00:00,START,jobs,18,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T03:31:30+00:00,END,jobs,10,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:31:30+00:00,START,jobs,19,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T03:41:25+00:00,END,jobs,12,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:41:25+00:00,START,jobs,20,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T03:43:00+00:00,END,jobs,14,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:43:00+00:00,START,jobs,21,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T03:44:20+00:00,END,jobs,13,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 45 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:44:20+00:00,START,jobs,22,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T03:45:01+00:00,END,jobs,11,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-08-01T03:45:01+00:00,START,jobs,23,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T06:09:23+00:00,END,jobs,16,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T06:09:23+00:00,START,jobs,24,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T06:54:16+00:00,END,jobs,18,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T06:54:16+00:00,START,jobs,25,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:03:26+00:00,END,jobs,17,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_std"
2026-08-01T07:03:26+00:00,START,jobs,26,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
2026-08-01T07:10:46+00:00,END,jobs,22,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --min-updates 1000 --episodes 6144000 --ablation-name r7_state4_v2"
