model,q,k1,k2,w_h,w_l,theoretical_e1,theoretical_e2,final_e1,final_e2,gap1,gap2,avg_gap,episodes
ppo,55.0,0.0004,0.00055,8.0,5.5,26.539743814704334,19.301631865239514,26.268327236175537,19.134818017482758,0.27141657852879675,0.16681384775675667,0.2191152131427767,6553600
ppo,40.0,0.0004,0.00055,8.0,5.5,34.47195236602946,25.07051081165779,33.67002606391907,24.466274678707123,0.8019263021103953,0.6042361329506676,0.7030812175305314,6553600
ppo,25.0,0.0004,0.00055,8.0,5.5,46.61016949152542,33.89830508474576,46.47877812385559,33.9593768119812,0.13139136766982773,0.06107172723544352,0.09623154745263562,6553600
gradient,25.0,0.0004,0.00055,8.0,5.5,46.61016949152542,33.89830508474576,46.61016949152542,33.89830508474576,0.0,0.0,0.0,0
gradient,40.0,0.0004,0.00055,8.0,5.5,34.47195236602946,25.07051081165779,34.47195236602946,25.07051081165779,0.0,0.0,0.0,0
gradient,55.0,0.0004,0.00055,8.0,5.5,26.539743814704334,19.301631865239514,26.539743814704334,19.301631865239514,0.0,0.0,0.0,0
