q,effort_range_min,effort_range_max,algorithm,theoretical_stage1_effort,theoretical_stage2_effort,theoretical_utility_player1,theoretical_utility_player2,final_stage1_effort,final_stage2_effort,actual_utility_player1,actual_utility_player2,gap_stage1_effort,gap_stage2_effort,max_gap,final_weighted_effort,convergence_quality,episodes,training_time,meets_standard
25.0,0,100,Enhanced_Gradient,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,6.547827307844892,3.1718191485143317,6.482748864887599,2.9960773434467036,1.0138414025502271,0.7412998121103005,1.0138414025502271,0.0,Fair,0,0.11868000030517578,False
25.0,0,100,SimpleUltraPPO,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,5.533966067366919,3.9131584668057164,6.345858346531229,3.135542851737983,1.983792774584714e-05,3.950618108428117e-05,3.950618108428117e-05,0.0,Excellent,1001,0.007721900939941406,True
25.0,0,200,Enhanced_Gradient,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,6.123495510072277,3.701030888103138,6.448002062187022,3.0315200070543504,0.5895096047776125,0.2120880725214942,0.5895096047776125,0.0,Good,0,0.1364421844482422,True
25.0,0,200,SimpleUltraPPO,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,5.533957936064487,3.9578623046292347,6.212623572877266,3.139890462088655,2.796923017722719e-05,0.04474334400460256,0.04474334400460256,0.0,Excellent,1001,0.007441997528076172,True
40.0,0,100,Enhanced_Gradient,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.130978913158425,2.2866130822584787,5.5076546300492835,3.9863327186136774,0.32776227765074006,0.1590862681319165,0.32776227765074006,0.0,Excellent,0,0.14985179901123047,True
40.0,0,100,SimpleUltraPPO,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.458636100640169,2.4457387630778595,5.586568156467127,3.9061413182624642,0.00010509016899629131,3.9412687464324136e-05,0.00010509016899629131,0.0,Excellent,1001,0.007177829742431641,True
40.0,0,200,Enhanced_Gradient,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.826287583050553,2.476315094607493,5.693290857887791,3.798400096865814,0.36754639224138774,0.030615744217097784,0.36754639224138774,0.0,Excellent,0,0.15070533752441406,True
40.0,0,200,SimpleUltraPPO,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.478867165066923,2.44569452405364,5.592917056487725,3.8997681792863648,0.02012597425775775,4.826336755137106e-06,0.02012597425775775,0.0,Excellent,1001,0.007411003112792969,True
55.0,0,100,Enhanced_Gradient,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.713491124806988,2.0539000960328875,5.242543175208864,4.25282420891558,0.19804298603668657,0.2752096593853275,0.2752096593853275,0.0,Excellent,0,0.16999602317810059,True
55.0,0,100,SimpleUltraPPO,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.556627296748221,1.778532521552822,5.237568695705626,4.258418716907003,0.04117915797791927,0.00015791509473794818,0.04117915797791927,0.0,Excellent,1001,0.007761240005493164,True
55.0,0,200,Enhanced_Gradient,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.2604422986409567,1.577610720283107,5.184881948629313,4.3120786693825925,0.2550058401293449,0.2010797163644531,0.2550058401293449,0.0,Excellent,0,0.1679842472076416,True
55.0,0,200,SimpleUltraPPO,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.51530940557202,1.7786442716651834,5.226434676357697,4.269612261288088,0.0001387331982813933,4.6164982376639685e-05,0.0001387331982813933,0.0,Excellent,1001,0.0073740482330322266,True
