update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,29.662147760391235,29.499796628952026,29.662147760391235,49.250203371047974,49.087852239608765,0.02,0.25,0.0004,0.04954642501327271
2,32768,29.199419021606445,29.199419021606445,28.838638067245483,49.550580978393555,49.91136193275452,0.02,0.25,0.0004,0.05582741067410098
3,49152,27.378312349319458,27.378312349319458,26.30464196205139,51.37168765068054,52.44535803794861,0.02,0.25,0.0004,0.051644913967538744
4,65536,24.83401656150818,24.83401656150818,23.559091091156006,53.91598343849182,55.190908908843994,0.02,0.25,0.0004,0.045164732641569574
5,81920,22.505894899368286,22.505894899368286,21.060935258865356,56.244105100631714,57.689064741134644,0.02,0.25,0.0004,0.031376219290541484
6,98304,20.52761673927307,20.52761673927307,18.906269073486328,58.22238326072693,59.84373092651367,0.02,0.25,0.0004,0.02197857571009081
7,114688,18.640289306640625,18.640289306640625,16.943529844284058,60.109710693359375,61.80647015571594,0.02,0.25,0.0004,0.022636369400424884
8,131072,16.88481330871582,16.88481330871582,15.134063959121704,61.86518669128418,63.615936040878296,0.02,0.25,0.0004,0.01700572742265649
9,147456,15.398166179656982,15.398166179656982,13.606510162353516,63.35183382034302,65.14348983764648,0.02,0.25,0.0004,0.014636369800427929
10,163840,14.05362844467163,14.05362844467163,12.250021696090698,64.69637155532837,66.4999783039093,0.02,0.25,0.0004,0.014384971815161407
11,180224,12.883070707321167,12.883070707321167,11.097989082336426,65.86692929267883,67.65201091766357,0.02,0.25,0.0004,0.011847707664128394
12,196608,11.707595586776733,11.707595586776733,9.925488233566284,67.04240441322327,68.82451176643372,0.02,0.25,0.0004,0.014434272819198669
13,212992,10.57414174079895,10.57414174079895,8.770523071289062,68.17585825920105,69.97947692871094,0.02,0.25,0.0004,0.009971499675884843
14,229376,9.352091550827026,9.352091550827026,7.5652992725372314,69.39790844917297,71.18470072746277,0.02,0.3,0.0005,0.014408348395954817
15,245760,8.277807235717773,8.277807235717773,6.561694145202637,70.47219276428223,72.18830585479736,0.02,0.3,0.0005,0.012536971049848944
16,262144,7.383832931518555,7.383832931518555,5.772439241409302,71.36616706848145,72.9775607585907,0.02,0.3,0.0005,0.009156675694976002
17,278528,6.2296366691589355,6.2296366691589355,4.62740421295166,72.52036333084106,74.12259578704834,0.02,0.36,0.0005,0.015523415221832693
18,294912,5.120865106582642,5.120865106582642,3.5376226902008057,73.62913489341736,75.2123773097992,0.02,0.36,0.0005,0.016235889005474746
19,311296,4.245094060897827,4.245094060897827,2.99546480178833,74.50490593910217,75.75453519821167,0.02,0.36,0.0005,0.008480866951867939
20,327680,3.3866918087005615,3.3866918087005615,2.2540605068206787,75.36330819129944,76.49593949317932,0.02,0.375,0.0005,0.011518783587962388
21,344064,3.521207571029663,3.521207571029663,3.0089592933654785,75.22879242897034,75.74104070663452,0.02,0.375,0.0005,0.004463154589757323
22,360448,3.664085865020752,3.520212173461914,3.664085865020752,75.22978782653809,75.08591413497925,0.02,0.375,0.0005,0.004466358362697065
23,376832,3.938136100769043,3.4315919876098633,3.938136100769043,75.31840801239014,74.81186389923096,0.02,0.375,0.0005,0.0005489047849550843
24,393216,4.4226861000061035,3.487042188644409,4.4226861000061035,75.26295781135559,74.3273138999939,0.02,0.375,0.0005,0.0021084827603772283
25,409600,4.559669494628906,3.5933172702789307,4.559669494628906,75.15668272972107,74.1903305053711,0.02,0.375,0.0005,0.0017255729297176003
26,425984,5.035791397094727,3.9600586891174316,5.035791397094727,74.78994131088257,73.71420860290527,0.02,0.375,0.0005,0.004960694117471576
27,442368,5.106208324432373,4.117623567581177,5.106208324432373,74.63237643241882,73.64379167556763,0.02,0.375,0.0005,0.0014186327229253949
28,458752,5.271134376525879,4.183367490768433,5.271134376525879,74.56663250923157,73.47886562347412,0.02,0.375,0.0005,0.0021268976968713106
29,475136,5.387673377990723,4.258016347885132,5.387673377990723,74.49198365211487,73.36232662200928,0.02,0.375,0.0005,0.0022894461755640803
30,491520,5.680975914001465,4.23978328704834,5.680975914001465,74.51021671295166,73.06902408599854,0.02,0.375,0.0005,0.0020137411891482772
31,507904,6.5874433517456055,4.843345880508423,6.5874433517456055,73.90665411949158,72.1625566482544,0.02,0.375,0.0005,0.008511283085681498
32,524288,7.2151875495910645,5.421457290649414,7.2151875495910645,73.32854270935059,71.53481245040894,0.02,0.375,0.0005,0.008824823616305367
33,540672,8.948544263839722,6.184366941452026,8.948544263839722,72.56563305854797,69.80145573616028,0.02,0.375,0.0005,0.01472395085147582
34,557056,9.95349645614624,6.769416332244873,9.95349645614624,71.98058366775513,68.79650354385376,0.02,0.375,0.0005,0.012388265212939587
35,573440,16.00995421409607,7.385197877883911,16.00995421409607,71.36480212211609,62.74004578590393,0.02,0.375,0.0005,0.0756197835347848
36,589824,30.2159583568573,8.097503185272217,30.2159583568573,70.65249681472778,48.5340416431427,0.02,0.30000000000000004,0.0004800000000000001,0.16502673173235963
37,606208,42.872074842453,8.765844106674194,42.872074842453,69.9841558933258,35.877925157547,0.02,0.24000000000000005,0.0003840000000000001,0.09419765337893296
38,622592,55.40458768606186,9.388670921325684,55.40458768606186,69.36132907867432,23.34541231393814,0.02,0.19200000000000006,0.0003072000000000001,0.10216663532664824
39,638976,62.86603718996048,10.05543828010559,62.86603718996048,68.69456171989441,15.88396281003952,0.02,0.15360000000000007,0.00024576000000000014,0.06398950573111506
40,655360,66.12601786851883,10.98193883895874,66.12601786851883,67.76806116104126,12.62398213148117,0.02,0.125,0.0001966080000000001,0.02997250197113317
41,671744,68.49943459033966,12.143210172653198,68.49943459033966,66.6067898273468,10.25056540966034,0.02,0.125,0.0001966080000000001,0.030512825737241657
42,688128,70.1947158575058,13.417754173278809,70.1947158575058,65.33224582672119,8.555284142494202,0.02,0.125,0.0001966080000000001,0.025771006289141953
43,704512,71.38738766312599,14.76604700088501,71.38738766312599,63.98395299911499,7.362612336874008,0.02,0.125,0.0001966080000000001,0.027677586337085815
44,720896,72.2467115521431,16.09220862388611,72.2467115521431,62.65779137611389,6.503288447856903,0.02,0.125,0.0001966080000000001,0.023429818495060317
45,737280,72.94404864311218,17.456934452056885,72.94404864311218,61.293065547943115,5.805951356887817,0.02,0.125,0.0001966080000000001,0.022440384502988308
46,753664,73.44918049871922,18.81291627883911,73.44918049871922,59.93708372116089,5.300819501280785,0.02,0.125,0.0001966080000000001,0.02209796153474599
47,770048,73.84350396692753,20.15731692314148,73.84350396692753,58.59268307685852,4.906496033072472,0.02,0.125,0.0001966080000000001,0.021034254619735293
48,786432,74.18444514274597,21.505800485610962,74.18444514274597,57.24419951438904,4.565554857254028,0.02,0.125,0.0001966080000000001,0.020461526804137976
49,802816,74.4762359559536,22.830346822738647,74.4762359559536,55.91965317726135,4.273764044046402,0.02,0.125,0.0001966080000000001,0.021080371196148917
50,819200,74.72086645662785,24.114516973495483,74.72086645662785,54.63548302650452,4.029133543372154,0.02,0.125,0.0001966080000000001,0.02147144533228129
51,835584,74.93113301694393,25.414762496948242,74.93113301694393,53.33523750305176,3.8188669830560684,0.02,0.125,0.0001966080000000001,0.02121386548387818
52,851968,75.11441618204117,26.68332815170288,75.11441618204117,52.06667184829712,3.635583817958832,0.02,0.125,0.0001966080000000001,0.022247037681518124
53,868352,75.25066643953323,28.02770495414734,75.25066643953323,50.72229504585266,3.4993335604667664,0.02,0.125,0.0001966080000000001,0.020821311394684017
54,884736,75.33890962600708,29.321727752685547,75.33890962600708,49.42827224731445,3.41109037399292,0.02,0.125,0.0001966080000000001,0.019551231089280918
55,901120,75.2405958622694,30.610085129737854,75.2405958622694,48.139914870262146,3.5094041377305984,0.02,0.125,0.0001966080000000001,0.019450937514193356
56,917504,74.75642658770084,31.828100085258484,74.75642658770084,46.921899914741516,3.993573412299156,0.02,0.125,0.0001966080000000001,0.021362271485850216
57,933888,74.15795087814331,33.00364673137665,74.15795087814331,45.74635326862335,4.5920491218566895,0.02,0.125,0.0001966080000000001,0.022257204278139396
58,950272,73.39127980172634,34.08497929573059,73.39127980172634,44.66502070426941,5.358720198273659,0.02,0.125,0.0001966080000000001,0.019660377549007534
59,966656,72.27217093110085,35.002095103263855,72.27217093110085,43.747904896736145,6.477829068899155,0.02,0.125,0.0001966080000000001,0.019270934822270647
60,983040,70.57847887277603,35.717270374298096,70.57847887277603,43.032729625701904,8.171521127223969,0.02,0.125,0.0001966080000000001,0.02167042145592859
61,999424,68.16939547657967,36.26819312572479,68.16939547657967,42.48180687427521,10.580604523420334,0.02,0.125,0.0001966080000000001,0.022645200659462718
62,1015808,64.75535243749619,36.710185408592224,64.75535243749619,42.039814591407776,13.994647562503815,0.02,0.125,0.0001966080000000001,0.026330435010459043
63,1032192,59.61312413215637,37.04517841339111,59.61312413215637,41.70482158660889,19.136875867843628,0.02,0.125,0.0001966080000000001,0.02890336540804128
64,1048576,54.44882869720459,37.26929485797882,54.44882869720459,41.48070514202118,24.30117130279541,0.02,0.125,0.0001966080000000001,0.01900160225086438
65,1064960,49.561933279037476,37.35429406166077,49.561933279037476,41.39570593833923,29.188066720962524,0.02,0.125,0.0001966080000000001,0.01807494191079968
66,1081344,44.9978506565094,37.14381814002991,44.9978506565094,41.60618185997009,33.7521493434906,0.02,0.125,0.0001966080000000001,0.012735430648490365
67,1097728,40.8902382850647,36.93081498146057,40.8902382850647,41.81918501853943,37.8597617149353,0.02,0.125,0.0001966080000000001,0.008214841556804232
68,1114112,37.07088887691498,36.69542729854584,37.07088887691498,42.05457270145416,41.67911112308502,0.02,0.15,0.00024576000000000014,0.010009917279069214
69,1130496,36.485055685043335,36.485055685043335,33.28324913978577,42.264944314956665,45.46675086021423,0.02,0.15,0.00024576000000000014,0.004245853979375625
70,1146880,36.243820786476135,36.243820786476135,32.549039125442505,42.506179213523865,46.200960874557495,0.02,0.18,0.00030720000000000015,0.000850298742875566
71,1163264,35.885751843452454,35.885751843452454,32.406187653541565,42.864248156547546,46.343812346458435,0.02,0.216,0.00038400000000000017,0.001564817561268228
72,1179648,35.49291551113129,35.49291551113129,32.82826900482178,43.25708448886871,45.92173099517822,0.02,0.2592,0.0004800000000000003,0.0020831538285847272
73,1196032,35.02421438694,35.02421438694,32.28822708129883,43.72578561306,46.46177291870117,0.02,0.31104,0.0005,0.0024551989661858896
74,1212416,35.60923397541046,35.60923397541046,32.572070360183716,43.14076602458954,46.177929639816284,0.02,0.37324799999999997,0.0005,0.004041816944845777
75,1228800,36.10035836696625,36.10035836696625,32.544512152671814,42.64964163303375,46.205487847328186,0.02,0.375,0.0005,0.0027903037964279063
76,1245184,35.50053000450134,35.50053000450134,32.03575372695923,43.24946999549866,46.71424627304077,0.02,0.375,0.0005,0.004363857448572617
77,1261568,35.88900029659271,35.88900029659271,32.18692898750305,42.86099970340729,46.56307101249695,0.02,0.375,0.0005,0.0010247364670419757
78,1277952,35.436773896217346,35.436773896217346,32.034651041030884,43.313226103782654,46.715348958969116,0.02,0.375,0.0005,0.0016960449773705476
79,1294336,35.07714033126831,35.07714033126831,33.50591421127319,43.67285966873169,45.24408578872681,0.02,0.375,0.0005,0.0017151408057657137
80,1310720,34.66868460178375,34.66868460178375,33.27791750431061,44.08131539821625,45.47208249568939,0.02,0.375,0.0005,0.0010320828144472216
81,1327104,34.05448853969574,34.05448853969574,32.17183709144592,44.69551146030426,46.57816290855408,0.02,0.375,0.0005,0.005260551317394402
82,1343488,34.52417016029358,34.52417016029358,32.09673821926117,44.22582983970642,46.65326178073883,0.02,0.375,0.0005,0.002915330598636956
83,1359872,34.01299178600311,34.01299178600311,31.809589862823486,44.73700821399689,46.940410137176514,0.02,0.375,0.0005,0.003380388835944359
84,1376256,33.50243926048279,33.50243926048279,32.04914093017578,45.24756073951721,46.70085906982422,0.02,0.375,0.0005,0.003681207489648841
85,1392640,34.057090282440186,34.057090282440186,32.52899408340454,44.692909717559814,46.22100591659546,0.02,0.375,0.0005,0.0040017524645122645
86,1409024,34.560198187828064,34.560198187828064,32.517213225364685,44.189801812171936,46.232786774635315,0.02,0.375,0.0005,0.002824436358298499
87,1425408,35.099027156829834,35.099027156829834,32.159501910209656,43.650972843170166,46.590498089790344,0.02,0.375,0.0005,0.0033766239430974565
88,1441792,35.460562109947205,35.460562109947205,32.89098501205444,43.289437890052795,45.85901498794556,0.02,0.375,0.0005,0.0014705788055607628
89,1458176,34.91438090801239,34.91438090801239,32.14590907096863,43.83561909198761,46.60409092903137,0.02,0.375,0.0005,0.004738109247466582
