update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,29.186502695083618,29.186502695083618,29.00602877140045,49.56349730491638,49.74397122859955,0.02,0.25,0.0004,0.055185090457484876
2,32768,28.37320327758789,28.37320327758789,27.6591157913208,50.37679672241211,51.0908842086792,0.02,0.2,0.00032,0.03638988235516081
3,49152,27.117679119110107,27.117679119110107,25.75443148612976,51.63232088088989,52.99556851387024,0.02,0.2,0.00032,0.031608914458047366
4,65536,25.27310013771057,25.27310013771057,23.49548101425171,53.47689986228943,55.25451898574829,0.02,0.2,0.00032,0.030034657296346266
5,81920,23.342010974884033,23.342010974884033,21.236852407455444,55.40798902511597,57.513147592544556,0.02,0.2,0.00032,0.020943902265571523
6,98304,21.522972583770752,21.522972583770752,19.271109104156494,57.22702741622925,59.478890895843506,0.02,0.2,0.00032,0.0167472465094761
7,114688,19.95687246322632,19.95687246322632,17.690680027008057,58.79312753677368,61.05931997299194,0.02,0.2,0.00032,0.012823772785486654
8,131072,18.471637964248657,18.471637964248657,16.16266131401062,60.27836203575134,62.58733868598938,0.02,0.2,0.00032,0.01270631403895095
9,147456,16.989550590515137,16.989550590515137,14.622173309326172,61.76044940948486,64.12782669067383,0.02,0.2,0.00032,0.012165862438268959
10,163840,15.71143627166748,15.71143627166748,13.36255431175232,63.03856372833252,65.38744568824768,0.02,0.2,0.00032,0.009769742889329792
11,180224,14.432296752929688,14.432296752929688,12.084040641784668,64.31770324707031,66.66595935821533,0.02,0.2,0.00032,0.00977790296310559
12,196608,13.362315893173218,13.362315893173218,11.005250215530396,65.38768410682678,67.7447497844696,0.02,0.2,0.00032,0.007710678171133622
13,212992,12.456861734390259,12.456861734390259,10.16254186630249,66.29313826560974,68.58745813369751,0.02,0.2,0.00032,0.008065978257218376
14,229376,11.440978050231934,11.440978050231934,9.271148443222046,67.30902194976807,69.47885155677795,0.02,0.2,0.00032,0.007554214942501858
