update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,31.887117624282837,31.887117624282837,31.563363075256348,46.86288237571716,47.18663692474365,0.02,0.25,0.0004,0.06035858154727976
2,32768,30.481330156326294,30.481330156326294,29.533690810203552,48.268669843673706,49.21630918979645,0.02,0.2,0.00032,0.03489230245440922
3,49152,28.687111139297485,28.687111139297485,27.31707453727722,50.062888860702515,51.43292546272278,0.02,0.2,0.00032,0.03475880233672797
4,65536,26.732972860336304,26.732972860336304,25.07311463356018,52.017027139663696,53.67688536643982,0.02,0.2,0.00032,0.02947679920180235
5,81920,24.51888680458069,24.51888680458069,22.63265609741211,54.23111319541931,56.11734390258789,0.02,0.2,0.00032,0.02518741485691862
6,98304,22.47992515563965,22.47992515563965,20.48814058303833,56.27007484436035,58.26185941696167,0.02,0.2,0.00032,0.01960643569327658
7,114688,20.602039098739624,20.602039098739624,18.493798971176147,58.147960901260376,60.25620102882385,0.02,0.2,0.00032,0.016673990490380673
8,131072,19.01310443878174,19.01310443878174,16.86490535736084,59.73689556121826,61.88509464263916,0.02,0.2,0.00032,0.011632796374033205
9,147456,17.526564598083496,17.526564598083496,15.334877967834473,61.223435401916504,63.41512203216553,0.02,0.2,0.00032,0.011800748948007821
10,163840,16.223464012145996,16.223464012145996,14.003793001174927,62.526535987854004,64.74620699882507,0.02,0.2,0.00032,0.0111592962522991
11,180224,15.017584562301636,15.017584562301636,12.877414226531982,63.732415437698364,65.87258577346802,0.02,0.2,0.00032,0.00787834333605133
12,196608,14.043370485305786,14.043370485305786,11.911801099777222,64.70662951469421,66.83819890022278,0.02,0.2,0.00032,0.00873612574650906
13,212992,13.07222604751587,13.07222604751587,10.965982675552368,65.67777395248413,67.78401732444763,0.02,0.2,0.00032,0.008945028024027125
14,229376,12.052146196365356,12.052146196365356,9.976027011871338,66.69785380363464,68.77397298812866,0.02,0.2,0.00032,0.00586621324182488
15,245760,10.852787494659424,10.852787494659424,8.802685737609863,67.89721250534058,69.94731426239014,0.02,0.24,0.0004,0.011911192967090756
16,262144,9.762004613876343,9.762004613876343,7.7390289306640625,68.98799538612366,71.01097106933594,0.02,0.24,0.0004,0.008037497638724744
17,278528,8.861843347549438,8.861843347549438,6.975111961364746,69.88815665245056,71.77488803863525,0.02,0.24,0.0004,0.006972364929970354
18,294912,7.776895761489868,7.776895761489868,6.036452054977417,70.97310423851013,72.71354794502258,0.02,0.288,0.0005,0.011397503828629852
19,311296,6.694523096084595,6.694523096084595,5.201236009597778,72.0554769039154,73.54876399040222,0.02,0.288,0.0005,0.007284333708230406
20,327680,5.806485414505005,5.806485414505005,4.494646787643433,72.943514585495,74.25535321235657,0.02,0.34559999999999996,0.0005,0.010129770508501678
21,344064,5.151287317276001,5.151287317276001,4.196754693984985,73.598712682724,74.55324530601501,0.02,0.34559999999999996,0.0005,0.006307916098739952
22,360448,4.754320383071899,4.754320383071899,4.19206976890564,73.9956796169281,74.55793023109436,0.02,0.375,0.0005,0.0013749790145084263
23,376832,3.8414573669433594,3.8414573669433594,3.2380318641662598,74.90854263305664,75.51196813583374,0.02,0.375,0.0005,0.014062087167985737
24,393216,3.118011951446533,3.118011951446533,2.5570905208587646,75.63198804855347,76.19290947914124,0.02,0.375,0.0005,0.008420566283166408
25,409600,2.8270280361175537,2.8270280361175537,2.3404574394226074,75.92297196388245,76.40954256057739,0.02,0.375,0.0005,0.0010120359947904944
26,425984,2.3243463039398193,2.3243463039398193,1.949319839477539,76.42565369606018,76.80068016052246,0.02,0.375,0.0005,0.004032991081476212
27,442368,2.315828800201416,2.315828800201416,2.2786355018615723,76.43417119979858,76.47136449813843,0.02,0.375,0.0005,0.0025920099345967174
28,458752,2.4012720584869385,2.0516610145568848,2.4012720584869385,76.69833898544312,76.34872794151306,0.02,0.375,0.0005,0.0022374823922291396
29,475136,3.3319032192230225,2.7070975303649902,3.3319032192230225,76.04290246963501,75.41809678077698,0.02,0.375,0.0005,0.013122293213382364
30,491520,3.9838290214538574,3.2315051555633545,3.9838290214538574,75.51849484443665,74.76617097854614,0.02,0.375,0.0005,0.006057072663679719
31,507904,4.134026765823364,3.3291256427764893,4.134026765823364,75.42087435722351,74.61597323417664,0.02,0.375,0.0005,0.002902272017672658
32,524288,5.021921396255493,3.7160074710845947,5.021921396255493,75.0339925289154,73.7280786037445,0.02,0.375,0.0005,0.004755332937929779
